commit_hash,Name,file_la,file_ld,file_lt,file_age,file_ddev,file_nuc,own,minor,file_ndev,file_ncomm,file_adev,file_nadev,file_avg_nddev,file_avg_nadev,file_avg_ncomm,file_ns,file_exp,file_sexp,file_rexp,file_nd,file_sctr
022e5839f469db6a326966d83481ffa968513228,com.example.yink.amadeus,1.0,2.0,254.0,128.3163425925926,5.0,13.0,0.8504672897196262,0.0,25.0,174.0,13.0,174.0,2.5,17.4,17.4,1.0,4049.0,4045.0,1.0024685080231797,1.0,-0.0910568787293412
02bf5400f837f503cbe4d6498248eb80dca75fdb,com.example.yink.amadeus,1.0,2.0,350.0,0.005462962962962963,2.0,38.0,0.7581453634085213,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,828.0,821.0,184.05084745762716,1.0,0.0
045c99954a3575642ba99ded5bd803f6ee7bfc26,com.example.yink.amadeus,9.0,20.5,350.0,6.368229166666666,4.0,51.5,0.48169814719808257,1.5,56.0,714.0,51.5,714.0,56.0,714.0,714.0,1.0,3999.5,3995.5,1.1152745061745146,1.0,-0.38039299659230386
0a329db4a33af902b78554e0d9bc40586ade3036,com.example.yink.amadeus,29.5,18.5,295.5,0.5224826388888887,4.0,33.5,0.7993447993447993,1.0,80.0,311.0,33.5,311.0,13.333333333333334,51.833333333333336,51.833333333333336,1.0,3265.5,3261.5,1.9674712830961,1.0,-0.18051856220779178
0bbd0cdb8fc0ebb70c6fdafd8e5f9674e08271ea,com.example.yink.amadeus,3.0,2.0,104.0,0.44104166666666667,4.0,5.0,1.0,0.0,18.0,64.0,5.0,64.0,9.0,32.0,32.0,1.0,319.0,315.0,2.3861481445829518,1.0,-0.2453211648814307
123b9e9ece24bf4e418c4c7187554305e7d7a595,com.example.yink.amadeus,6.0,2.0,84.0,0.032337962962962964,2.0,6.0,0.5619834710743802,0.0,8.0,36.0,6.0,36.0,8.0,36.0,36.0,1.0,3254.0,3250.0,31.92340730136005,1.0,-0.33413208628167074
13d987a540ed2b843e678408d8e570fd58540981,com.example.yink.amadeus,39.0,42.0,372.0,138.48826388888892,5.0,6.0,0.5833333333333334,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1096.0,1081.0,1.001848306768095,1.0,-0.4570644171839512
151a2bd51098261a29f432488cbbbc338a2b8b97,com.example.yink.amadeus,4.0,4.0,41.0,0.23059027777777774,5.0,9.0,0.9607843137254902,0.0,35.0,48.0,9.0,48.0,17.5,24.0,24.0,1.0,4038.0,4034.0,3.1683481403403104,1.0,-0.27336830983024113
1639069baebb83ffcbd00fd91ed7f30ad538207b,com.example.yink.amadeus,65.0,64.0,481.0,0.19697916666666668,4.0,71.0,0.5051831375259157,3.0,136.0,618.0,71.0,618.0,22.66666666666667,103.0,103.0,1.0,3306.0,3302.0,6.076679005817027,1.0,-0.14216673080873962
16cba6f981c3af564535278dedc93ffe05f95e36,com.example.yink.amadeus,3.0,3.0,107.0,0.5927199074074074,5.0,10.0,0.8132530120481928,1.0,100.0,576.0,10.0,576.0,16.666666666666668,96.0,96.0,1.0,4021.0,4017.0,1.26060439709595,1.0,-0.3445410810838957
19f53b389a83938803a975613e640179f6f84c6f,com.example.yink.amadeus,1.0,0.0,344.0,0.0018171296296296297,2.0,32.0,0.7970627503337784,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,825.0,818.0,551.3184713375797,1.0,0.0
1f34848f86c160b9edea1f4debe71ef80d1ef147,com.example.yink.amadeus,10.0,2.0,158.0,0.1069675925925926,4.0,15.0,0.4836065573770492,0.0,20.0,55.0,15.0,55.0,20.0,55.0,55.0,1.0,872.0,865.0,10.348625838563082,1.0,-0.4769831552269861
234997a2c707d588d570809419d49e20c57da16f,com.example.yink.amadeus,1.0,2.0,267.0,0.045613425925925925,1.0,7.0,0.9978586723768736,1.0,3.0,9.0,7.0,9.0,0.001913265306122449,0.005739795918367347,0.005739795918367347,1.0,1583.0,1582.0,22.923369703121036,1.0,-0.0005024344887014967
26db3200630a8e76e9fc8d664d2d04698cdb91da,com.example.yink.amadeus,2.0,0.0,345.0,0.003020833333333333,2.0,33.0,0.7976031957390146,1.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,826.0,819.0,332.0344827586207,1.0,0.0
287c647073fb647dd9b200eeeae55b851194b66a,com.example.yink.amadeus,19.0,1.0,100.0,0.963912037037037,4.0,9.0,0.4470588235294118,0.0,24.0,96.0,9.0,96.0,24.0,96.0,96.0,1.0,178.0,178.0,2.037439062462477,1.0,-0.06703745513466478
2ad67b52c30b70232d59339d6fa5e275614f316a,com.example.yink.amadeus,2.0,1.0,266.0,0.004201388888888889,2.0,8.0,0.9936034115138592,1.0,3142.0,3150.0,8.0,3150.0,2.0038265306122454,2.008928571428572,2.008928571428572,1.0,3152.0,3150.0,1.1517962556923558,1.0,-0.0005024344887014967
2b985a4a29546dd0edfef08388bf476945eab90c,com.example.yink.amadeus,12.0,32.0,374.0,0.3683796296296296,2.0,36.0,0.7578419071518193,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,3.7145909262284778,1.0,0.0
