commit_hash,Name,file_la,file_ld,file_lt,file_age,file_ddev,file_nuc,own,minor,file_ndev,file_ncomm,file_adev,file_nadev,file_avg_nddev,file_avg_nadev,file_avg_ncomm,file_ns,file_exp,file_sexp,file_rexp,file_nd,file_sctr
00781779ba4c26eb2fe36633df7a0b54fc193fbe,com.fr3ts0n.ecu.gui.androbd,0.0,9.0,2263.0,0.008622685185185185,24.0,17.0,1.0,0.0,24.0,6.0,17.0,6.0,24.0,6.0,6.0,1.0,2231.0,302.0,116.97315436241614,1.0,-0.31127812445913283
01fcb7abb4b7ebf60593f3e39329d86dc6b0dd42,com.fr3ts0n.ecu.prot.obd.res,8.0,8.0,1275.0,47.08519675925926,18.0,9.0,0.9752321981424148,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
03ede1d4cba7797d2dbc4fc7f593b295917d738f,com.fr3ts0n.ecu.prot.obd.res,4.0,0.0,1261.0,24.028425925925934,18.0,3.0,0.9929078014184396,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0416173744831545,1.0,0.0
05995b978bedcc0ea9d5288e38ce206dc8cb3d33,com.fr3ts0n.ecu.prot.obd.res,48.0,0.0,590.0,2.5477777777777777,18.0,7.0,0.9811912225705328,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,1.3924989097252507,1.0,0.0
084852c3556117451394bcce2f8443ff34e4c899,com.fr3ts0n.ecu.prot.obd.res,18.0,1.0,1.0,0.002939814814814815,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,341.15748031496065,1.0,0.0
08a2c1fce5e8feacd0e26246f6d197310b848d47,com.fr3ts0n.ecu.prot.obd.res,9.0,0.0,36.0,19.666469907407404,18.0,2.0,0.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,1.0508479663461794,1.0,0.0
0a9bfd9555973f47bf374587d2160b615692805a,com.fr3ts0n.ecu.prot.obd.res,5.0,0.0,1.0,4.958206018518519,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,1.201685850943885,1.0,0.0
0d2f587dc72ccd8529a6454e5742a33056540949,com.fr3ts0n.ecu.prot.obd.res,3.0,3.0,1268.0,26.140381944444453,18.0,7.0,0.9866875489428348,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0382549880918066,1.0,0.0
0e3c641b15ba70c3daf5e8c5372cbb30cb22943d,com.fr3ts0n.ecu.prot.obd.res,7.0,1.0,1.0,0.003530092592592592,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,284.27868852459017,1.0,0.0
0f52061904a923bfbf47e5c60a71ad64f5b4f9f3,com.fr3ts0n.ecu.gui.androbd,20.0,2.0,210.0,489.65892361111116,24.0,3.0,0.913793103448276,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.002042237875755,1.0,0.0
0fde0a67f5644fa09a549397d882de62678ed3fc,com.fr3ts0n.ecu.prot.obd.res,6.0,0.0,16.0,261.77386574074075,1.0,3.0,0.7391304347826086,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
113177d3223e6af40b8f8823528940ee6c5cedfd,com.fr3ts0n.ecu.prot.obd.res,156.0,0.0,3.0,4.916261574074074,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,5.0,1.2034065895259731,1.0,0.0
11eb4040285ec1ebe39d08cd88316dfcbb963c47,com.fr3ts0n.ecu.prot.obd.res,7.0,1.0,1.0,291.1921296296296,18.0,2.0,0.875,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
152100365d375d00d6569f833c0fd01eeaff6d5c,com.fr3ts0n.ecu.prot.obd.res,238.0,1.0,18.0,21.60146990740741,1.0,3.0,0.926070038910506,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0462931459889722,1.0,0.0
1547e0f9ce27bfff7b57e7b5154de9d6e22bca8d,com.fr3ts0n.ecu.prot.obd.res,7.0,0.0,1268.0,282.5751041666667,18.0,8.0,0.9813084112149532,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,1.00353888217771,1.0,0.0
15cb4ac6abbb2bca3c4242a7f42fa84c2055412d,com.fr3ts0n.ecu.prot.obd.res,334.0,172.0,805.0,2.0094560185185184,24.0,18.0,0.6406560636182903,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.497647119809696,1.0,0.0
1820c17c36f68a7ddaa533f3033e200d035b099f,com.fr3ts0n.ecu.prot.obd.res,49.0,24.0,604.0,38.86927083333333,24.0,14.0,0.9374545454545454,9.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.025727264200244,1.0,0.0
1b0f5f5b692908f964113805a879ad71545c9386,com.fr3ts0n.ecu.gui.androbd,2.0,2.0,362.5,1.218553240740741,24.0,4.5,1.0,0.0,48.0,11.5,4.5,11.5,16.0,3.833333333333333,3.833333333333333,1.0,2214.5,288.5,1.2069641005817453,1.0,-0.4581783253513737
1ba99a97ed4731e26c5a0fdf06e01891955cd16f,com.fr3ts0n.ecu.prot.obd.res,6.0,6.0,577.0,1.6095370370370368,1.0,8.0,0.6910569105691057,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,1.6212966691595236,1.0,0.0
1c67fb92d0d7902e7f4eecf319640111956e2917,com.fr3ts0n.ecu.prot.obd,10.0,7.0,1132.0,38.27560185185185,18.0,3.0,1.0,0.0,54.0,3.0,3.0,3.0,18.0,1.0,1.0,1.0,1948.0,144.0,1.0261263037448909,1.0,-0.5060269424802474
1c67fb92d0d7902e7f4eecf319640111956e2917,com.fr3ts0n.ecu.prot.obd.res,5.0,1.0,250.0,127.90586805555556,18.0,2.0,1.0,0.0,54.0,6.0,2.0,6.0,18.0,2.0,2.0,1.0,1950.0,146.0,1.003400350409258,1.0,-0.4361692313526533
1fe33ed43a23b1f79877666c5586b33a95641de4,com.fr3ts0n.ecu.gui.androbd,16.0,8.0,324.0,2.1498611111111106,24.0,7.0,1.0,0.0,96.0,38.0,7.0,38.0,48.0,19.0,19.0,1.0,2228.0,299.0,1.3877604143291835,1.0,-0.5287712379549449
2258b469e893a4530ad954aa226e7ff447e5edc8,com.fr3ts0n.ecu.prot.obd.res,27.0,1.0,1.0,0.001377314814814815,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,727.0504201680674,1.0,0.0
233c1c8bd6b866aa5d27986b23f0e50ceb009d9a,com.fr3ts0n.ecu.prot.obd.res,11.0,0.0,34.0,1.0162847222222222,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,1.9839762205746692,1.0,0.0
