commit_hash,Name,file_la,file_ld,file_lt,file_age,file_ddev,file_nuc,own,minor,file_ndev,file_ncomm,file_adev,file_nadev,file_avg_nddev,file_avg_nadev,file_avg_ncomm,file_ns,file_exp,file_sexp,file_rexp,file_nd,file_sctr
023c253c932da76d82864403f6c1cc1a92c83f00,org.ahocorasick.trie,13.0,10.5,197.0,0.030358796296296293,2.0,15.0,0.6179542313008755,0.5,8.0,58.0,15.0,58.0,8.0,58.0,58.0,1.0,96.5,67.5,25.704536789935187,1.0,-0.3924960443820792
055e13c298a7c6216c60ece73f253ffdc0d4e8c7,org.ahocorasick.trie,3.0,5.5,187.0,0.03788194444444445,2.0,12.5,0.6087870105062082,0.5,12.0,29.5,12.5,29.5,2.4,5.9,5.9,1.0,88.0,59.0,16.838680109990833,1.0,-0.20199136694936817
055e13c298a7c6216c60ece73f253ffdc0d4e8c7,org.ahocorasick.trie.configuration,0.0,38.0,38.0,0.03788194444444445,2.0,2.0,1.0,0.0,10.0,28.5,2.0,28.5,2.0,5.699999999999999,5.699999999999999,1.0,88.5,59.5,8.6993583868011,1.0,-0.4831351372365533
1785a554f3762d4916f61c2a417a127f222e7dd7,org.ahocorasick,0.0,26.0,26.0,1.2217361111111111,1.0,3.0,1.0,0.0,2.0,4.0,3.0,4.0,0.10526315789473684,0.21052631578947367,0.21052631578947367,1.0,18.0,8.0,1.2678031770631537,1.0,-0.19622975546870752
1785a554f3762d4916f61c2a417a127f222e7dd7,org.ahocorasick.interval,41.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23.5,13.5,1.2678031770631537,1.0,-0.26532403806955734
1785a554f3762d4916f61c2a417a127f222e7dd7,org.ahocorasick.trie,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,28.0,18.0,1.2678031770631537,1.0,-0.15772822060665606
1785a554f3762d4916f61c2a417a127f222e7dd7,org.ahocorasick.{ => trie},13.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30.5,20.5,1.2678031770631537,1.0,-0.11722451820879057
21a6fc5baad563af66f279f6173aabd1098e0d37,org.ahocorasick.util,1.0,1.0,65.0,0.01037037037037037,4.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,97.42857142857143,1.0,0.0
255069624b60526844a61c2d7f158762febe9249,org.ahocorasick.interval,3.0,3.0,51.0,0.12270833333333335,2.0,6.0,0.7954545454545454,0.0,72.0,362.0,6.0,362.0,6.0,30.16666666666667,30.16666666666667,1.0,147.0,106.0,1.5460026162625362,1.0,-0.0946874649728222
255069624b60526844a61c2d7f158762febe9249,org.ahocorasick.trie,37.0,29.0,54.0,0.12270833333333335,2.0,8.0,0.6647058823529411,0.0,78.0,351.0,8.0,351.0,6.5,29.25,29.25,1.0,146.0,105.0,1.5852112246764063,1.0,-0.43912811251090794
267e8950592e685b0fc21c2cf6dad7db2775356a,org.ahocorasick.interval,6.0,2.0,96.0,0.4864814814814815,2.0,5.0,0.6363636363636364,0.0,2.0,22.0,5.0,22.0,1.0,11.0,11.0,1.0,20.0,18.0,3.0555767034640278,1.0,-0.375
267e8950592e685b0fc21c2cf6dad7db2775356a,org.ahocorasick.trie,16.0,12.0,161.5,0.16452546296296294,2.0,13.5,0.6896551724137931,1.5,3.0,15.5,13.5,15.5,1.5,7.75,7.75,1.0,21.5,19.5,2.3811373829504525,1.0,-0.14082199809487284
285a74c37f678e23cb827cf2f4fa1211709dcc65,org.ahocorasick.trie,1.0,1.0,112.0,205.2144212962963,2.0,9.0,0.8425531914893617,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.002213176659552,1.0,-0.5
2b125d2689baf7550990bad3490d367fb1d130cd,org.ahocorasick.trie,2.5,2.5,53.0,0.476568287037037,1.5,4.5,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,75.5,47.5,1.0245837937608528,1.0,-0.4854752972273343
2b5c2d654db42a4aa0b35e7755c0142c7085af1a,org.ahocorasick.interval,3.0,2.0,35.0,0.3219560185185185,2.0,3.0,0.9032258064516128,0.0,16.0,56.0,3.0,56.0,1.1428571428571428,4.0,4.0,1.0,9.0,7.0,1.000322452597145,1.0,-0.0734026320299693
2b5c2d654db42a4aa0b35e7755c0142c7085af1a,org.ahocorasick.trie,5.0,5.0,24.0,0.3219560185185185,2.0,5.0,0.6190476190476191,1.0,20.0,64.0,5.0,64.0,1.4285714285714286,4.571428571428571,4.571428571428571,1.0,12.0,10.0,1.0001935261549997,1.0,-0.1459518046519868
2b5c2d654db42a4aa0b35e7755c0142c7085af1a,org.ahocorasick.trie.handler,3.0,5.0,21.0,435.3115046296296,2.0,2.0,0.875,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,14.0,12.0,1.0001784792036188,1.0,-0.12407799133266585
30f003c5ae9998160b09dc79a6c782b4ff5305b0,org.ahocorasick.trie,1.0,1.0,140.0,0.005277777777777778,2.0,16.0,0.7046263345195729,1.0,4.0,34.0,16.0,34.0,4.0,34.0,34.0,1.0,99.0,69.0,1.012295031227814,1.0,-0.5
31117d6a6ed114c2036510bb9976d9d0012ee59a,org.ahocorasick.trie,16.5,9.5,67.0,6.614351851851853,2.0,4.5,1.0,0.0,8.0,19.0,4.5,19.0,4.0,9.5,9.5,1.0,59.5,40.5,1.0629978654293692,1.0,-0.13945685762744564
365ac858304f4a48f9125958dd75abc38ebab11d,org.ahocorasick.trie,42.0,0.0,392.0,219.14114583333333,5.0,29.0,0.5275665399239544,3.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
413d63675b2918e9f63d5b1e461dcd8158b2130c,org.ahocorasick.trie,2.0,2.0,103.0,52.51087962962963,5.0,33.0,0.3919504643962848,6.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
4399e42b99aad96591709e63e099d747988560dd,org.ahocorasick.trie,2.0,2.0,127.0,0.3485069444444445,2.0,13.0,0.7306273062730627,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,92.0,63.0,3.869383281857128,1.0,0.0
4c8ea8ba57ec42631b45e91a1337fc438397fd2e,org.ahocorasick.interval,8.0,1.0,57.0,0.055671296296296295,2.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,37.0,26.0,1.5436526663520533,1.0,-0.4881870501738314
4c8ea8ba57ec42631b45e91a1337fc438397fd2e,org.ahocorasick.trie,13.0,0.0,9.5,0.027835648148148148,1.5,1.0,1.0,0.0,1.0,1.0,1.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,38.5,27.5,1.5276819250618376,1.0,-0.4304121966362523
