commit_hash,Name,file_la,file_ld,file_lt,file_age,file_ddev,file_nuc,own,minor,file_ndev,file_ncomm,file_adev,file_nadev,file_avg_nddev,file_avg_nadev,file_avg_ncomm,file_ns,file_exp,file_sexp,file_rexp,file_nd,file_sctr
009bd46341a1693094f54b8504a2caa1433a41bd,com.aliyun.oss.common.utils,1.0,1.0,38.0,87.84850694444445,6.0,12.0,0.4470588235294118,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,17.0,16.0,1.0010044505062825,1.0,-0.430827083453526
009bd46341a1693094f54b8504a2caa1433a41bd,com.aliyun.oss.internal,0.0,2.0,138.0,8.049131944444444,6.0,8.0,0.3924914675767918,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,1.0079329715322929,1.0,-0.430827083453526
013645b60226f52194b1a303724aaa6e0a7e7a4d,com.aliyun.oss,0.0,152.0,152.0,132.3303125,1.0,2.0,1.0,1.0,233.0,263.0,2.0,263.0,1.0,1.128755364806867,1.128755364806867,1.0,34.0,7.0,1.0002864417463968,1.0,-0.035577926276116445
013645b60226f52194b1a303724aaa6e0a7e7a4d,com.aliyun.oss.common.auth,0.0,54.0,54.0,132.3303125,1.0,2.0,1.0,1.0,233.0,269.0,2.0,269.0,1.0,1.1545064377682404,1.1545064377682404,1.0,40.0,13.0,1.000233367157616,1.0,-0.015067965012763303
013645b60226f52194b1a303724aaa6e0a7e7a4d,com.aliyun.oss.common.comm,0.0,111.0,111.0,132.3303125,1.0,2.0,1.0,1.0,233.0,281.5,2.0,281.5,1.0,1.2081545064377681,1.2081545064377681,1.0,52.5,25.5,1.000168393119508,1.0,-0.027495745723502576
013645b60226f52194b1a303724aaa6e0a7e7a4d,com.aliyun.oss.common.comm.io,0.0,105.0,105.0,132.3303125,1.0,2.0,1.0,1.0,233.0,291.0,2.0,291.0,1.0,1.2489270386266094,1.2489270386266094,1.0,62.0,35.0,1.0001389591406775,1.0,-0.02626470665249489
013645b60226f52194b1a303724aaa6e0a7e7a4d,com.aliyun.oss.common.model,0.0,85.0,85.0,132.3303125,1.0,2.0,1.0,1.0,233.0,410.0,2.0,410.0,1.0,1.759656652360515,1.759656652360515,1.0,181.0,154.0,1.0000438981141009,1.0,-0.022042406573001074
013645b60226f52194b1a303724aaa6e0a7e7a4d,com.aliyun.oss.common.parser,0.0,41.0,41.0,132.3303125,1.0,2.0,1.0,1.0,233.0,297.5,2.0,297.5,1.0,1.2768240343347639,1.2768240343347639,1.0,68.5,41.5,1.0001241316428433,1.0,-0.011929056776267431
013645b60226f52194b1a303724aaa6e0a7e7a4d,com.aliyun.oss.common.utils,0.0,60.0,60.0,132.3303125,1.0,2.0,1.0,1.0,233.0,309.0,2.0,309.0,1.0,1.3261802575107295,1.3261802575107295,1.0,80.0,53.0,1.000104402598994,1.0,-0.01646747896177072
013645b60226f52194b1a303724aaa6e0a7e7a4d,com.aliyun.oss.integrationtests,0.0,214.5,214.5,132.3303125,1.0,2.0,1.0,1.0,233.0,430.5,2.0,430.5,1.0,1.847639484978541,1.847639484978541,1.0,201.5,174.5,1.0000392270366334,1.0,-0.046992293591300215
013645b60226f52194b1a303724aaa6e0a7e7a4d,com.aliyun.oss.internal,0.0,160.0,160.0,132.3303125,1.0,2.0,1.0,1.0,233.0,319.0,2.0,319.0,1.0,1.3690987124463518,1.3690987124463518,1.0,90.0,63.0,1.0000917295808347,1.0,-0.03709381940353873
013645b60226f52194b1a303724aaa6e0a7e7a4d,com.aliyun.oss.internal.model,0.0,48.0,48.0,132.3303125,1.0,2.0,1.0,1.0,233.0,327.0,2.0,327.0,1.0,1.4034334763948495,1.4034334763948495,1.0,98.0,71.0,1.0000836102837696,1.0,-0.01363942137889228
013645b60226f52194b1a303724aaa6e0a7e7a4d,com.aliyun.oss.model,0.0,98.0,98.0,132.3303125,1.0,2.0,1.0,1.0,233.0,356.0,2.0,356.0,1.0,1.5278969957081543,1.5278969957081543,1.0,127.0,100.0,1.000063299831746,1.0,-0.02480753632971781
013645b60226f52194b1a303724aaa6e0a7e7a4d,com.aliyun.oss.perftests,0.0,148.0,148.0,132.3303125,1.0,2.0,1.0,1.0,233.0,446.0,2.0,446.0,1.0,1.9141630901287556,1.9141630901287556,1.0,217.0,190.0,1.000036305661982,1.0,-0.03481317631966625
013645b60226f52194b1a303724aaa6e0a7e7a4d,com.aliyun.oss.testing,0.0,84.0,84.0,132.3303125,1.0,2.0,1.0,1.0,233.0,451.0,2.0,451.0,1.0,1.9356223175965663,1.9356223175965663,1.0,222.0,195.0,1.0000354539967793,1.0,-0.02182628218857839
013645b60226f52194b1a303724aaa6e0a7e7a4d,com.aliyun.oss.utils,0.0,66.0,66.0,132.3303125,1.0,2.0,1.0,1.0,233.0,456.5,2.0,456.5,1.0,1.959227467811159,1.959227467811159,1.0,227.5,200.5,1.0000345623352862,1.0,-0.017824715199961864
020e74b287e06e62a1e8e8f86c2aea36646d204d,com.aliyun.oss,30.0,0.0,1469.0,21.739895833333332,13.0,32.0,0.2989199491740788,7.0,221.0,363.0,32.0,363.0,22.1,36.3,36.3,1.0,49.0,49.0,1.0229991902368438,1.0,-0.2551094393797984
020e74b287e06e62a1e8e8f86c2aea36646d204d,com.aliyun.oss.common.parser,20.0,2.0,1149.0,21.739895833333332,13.0,30.0,0.2267015706806283,6.0,221.0,400.0,30.0,400.0,22.1,40.0,40.0,1.0,51.0,51.0,1.0114995951184218,1.0,-0.2082503576814584
020e74b287e06e62a1e8e8f86c2aea36646d204d,com.aliyun.oss.integrationtests,140.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,58.0,58.0,1.005749797559211,1.0,-0.5214033214345373
020e74b287e06e62a1e8e8f86c2aea36646d204d,com.aliyun.oss.internal,21.5,0.5,722.0,21.739895833333332,13.0,16.5,0.2708820802500749,4.5,195.0,377.0,16.5,377.0,19.5,37.7,37.7,1.0,53.5,53.5,1.0071187969780706,1.0,-0.17355966893235417
020e74b287e06e62a1e8e8f86c2aea36646d204d,com.aliyun.oss.model,41.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,56.5,56.5,1.005749797559211,1.0,-0.3064767075173636
026a0e0e6d3cb51bd9b98de41a1938725e7fb202,com.aliyun.oss.common.parser,97.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0120096594358046,1.0,-0.4902362091526654
026a0e0e6d3cb51bd9b98de41a1938725e7fb202,com.aliyun.oss.internal,5.0,0.0,2582.0,15.58644675925926,6.0,23.0,0.29194630872483224,3.0,30.0,32.0,23.0,32.0,5.0,5.333333333333333,5.333333333333333,1.0,1.0,1.0,1.0307631613990689,1.0,-0.08426132963545721
026a0e0e6d3cb51bd9b98de41a1938725e7fb202,com.aliyun.oss.model,18.0,0.0,101.0,16.919965277777774,6.0,5.0,0.5934959349593496,1.0,30.0,51.0,5.0,51.0,5.0,8.5,8.5,1.0,3.0,3.0,1.01507242088898,1.0,-0.21294963364963213
03ac69409681996f93d299baf7db1822a6ace34a,com.aliyun.oss.common.parser,5.0,5.0,1045.0,7.29056712962963,9.0,24.0,0.2429854096520763,3.0,81.0,102.0,24.0,102.0,20.25,25.5,25.5,1.0,13.0,9.0,1.1371635405338898,1.0,-0.3678447393324775
03ac69409681996f93d299baf7db1822a6ace34a,com.aliyun.oss.internal,5.0,2.0,1021.0,30.08762731481481,9.0,26.0,0.34548944337811893,4.0,54.0,88.0,26.0,88.0,13.5,22.0,22.0,1.0,14.0,10.0,1.0267535662132186,1.0,-0.30088905500030416
03ac69409681996f93d299baf7db1822a6ace34a,com.aliyun.oss.model,16.0,6.0,210.0,25.14262731481481,9.0,5.0,0.934156378600823,0.0,45.0,82.0,5.0,82.0,11.25,20.5,20.5,1.0,16.0,12.0,1.0114072627824058,1.0,-0.5077514684290579
04d1846d0e6d9d5aa7ba631a03f7f1ec5ca532ea,com.aliyun.oss.common.parser,8.0,1.0,760.0,5.966180555555557,6.0,9.0,0.3321976149914821,2.0,6.0,14.0,9.0,14.0,2.0,4.666666666666667,4.666666666666667,1.0,128.0,119.0,1.1676114208559822,1.0,-0.3804888877074841
04d1846d0e6d9d5aa7ba631a03f7f1ec5ca532ea,com.aliyun.oss.integrationtests,9.0,4.5,94.0,62.059398148148155,3.5,8.5,0.6336477987421384,0.0,6.0,5.5,8.5,5.5,2.0,1.8333333333333333,1.8333333333333333,1.0,130.5,121.5,1.0040570267053488,1.0,-0.4341429907291855
04d1846d0e6d9d5aa7ba631a03f7f1ec5ca532ea,com.aliyun.oss.model,30.0,4.0,77.0,118.9913425925926,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,129.0,120.0,1.008002719442625,1.0,-0.5060269424802474
054eb12169714cb67855599b487a1b7bc91138a8,com.aliyun.oss.integrationtests,2.0,2.0,434.0,2.8666550925925924,3.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,115.0,108.0,1.348838617726977,1.0,0.0
091405f5e38b6e1da0d75b578446f9f93368133b,com.aliyun.oss.integrationtests,5.0,3.0,73.0,90.4254050925926,5.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,90.0,82.0,1.0110588390394937,1.0,0.0
0ba458237a7bc4e967d900cd0d687470a2f40386,com.aliyun.oss.integrationtests,4.0,11.0,55.0,0.0009606481481481482,6.0,13.0,0.27960526315789475,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,106.0,98.0,1041.9638554216867,1.0,0.0
0cd38f7c2d8abe3e0c6dc09f58f70373e82b35c1,com.aliyun.oss,1.0,1.0,1352.0,91.82015046296296,9.0,35.0,0.3146104981611501,7.0,54.0,36.0,35.0,36.0,13.5,9.0,9.0,1.0,1.0,-0.2359590295397124,,,
0cd38f7c2d8abe3e0c6dc09f58f70373e82b35c1,com.aliyun.oss.integrationtests,11.0,1.5,202.0,49.38569444444444,9.0,3.0,0.9391430194002235,0.5,22.5,46.0,3.0,46.0,5.625,11.5,11.5,1.0,3.5,3.5,1.0039474154417767,1.0,-0.45730968091241575
0cd38f7c2d8abe3e0c6dc09f58f70373e82b35c1,com.aliyun.oss.internal,2.0,2.0,255.5,44.73696180555556,9.0,9.0,0.6449740244049776,2.0,40.5,81.5,9.0,81.5,10.125,20.375,20.375,1.0,1.5,1.5,1.0056041844091332,1.0,-0.33606413044618283
0dbf1ddb76d23b9e109f4d93dbd57c787428d591,com.aliyun.oss.integrationtests,138.5,2.5,294.5,3.652106481481481,2.5,3.0,0.9184100418410042,1.0,2.5,3.5,3.5,3.5,1.25,1.75,1.75,1.0,30.5,29.5,1.0245505883205657,1.0,-0.09393869695023105
0dbf1ddb76d23b9e109f4d93dbd57c787428d591,com.aliyun.oss.internal,0.0,9.0,207.0,37.40497685185185,4.0,7.0,0.4301075268817205,2.0,4.0,5.0,7.0,5.0,2.0,2.5,2.5,1.0,29.0,28.0,1.0267344103422562,1.0,-0.15510155695255584
0f05bb38115a038ec0a309c552ca642a88297af0,com.aliyun.oss,27.0,0.0,675.0,2.888541666666667,13.0,18.0,0.2939438700147711,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,173.0,170.0,1.3461954561846374,1.0,-0.516935494009389
0f05bb38115a038ec0a309c552ca642a88297af0,com.aliyun.oss.integrationtests,56.0,3.0,173.0,659.1589930555557,6.0,2.0,0.7554585152838428,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,175.0,172.0,1.000755881638384,1.0,-0.4217532163471487
0f05bb38115a038ec0a309c552ca642a88297af0,com.aliyun.oss.internal,6.0,2.0,190.0,660.9109143518517,6.0,6.0,0.4563106796116505,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,174.0,171.0,1.001506479089329,1.0,-0.30251820014277764
0fdfef4ae238d492f6dda8d1ff0b49523d9481d0,com.aliyun.oss.model,1.0,1.0,132.0,574.0301736111112,8.0,9.0,0.3645833333333333,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,205.0,197.0,1.0017420687029557,1.0,0.0
