commit_hash,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android,2.5,2.5,2.5,1.0,18.5,3.0,15.5,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,24.5,3.0,18.5,5.0,12.0,3.0,7.5,11.0,3.5,7.5,2.5,2.5,2.5,1.0,2.0,0.5,0.0,0.0,0.22,2.5,2.5,2.5,1.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.USB,1.0,1.0,1.0,1.0,10.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,4.0,69.0,10.0,35.0,13.0,23.0,10.0,19.0,26.0,13.0,15.0,2.0,2.0,2.0,1.0,1.0,1.0,62.0,62.0,0.11,6.0,6.0,6.0,4.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.eula,2.0,2.0,2.0,1.0,18.0,0.0,14.0,3.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,5.0,5.0,0.0,4.0,0.0,1.0,119.0,9.0,79.0,16.0,52.0,31.0,39.0,57.0,19.0,38.0,3.0,3.0,3.0,1.0,1.0,2.0,80.0,80.0,0.39,10.0,10.0,10.0,5.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.eula.Eula.show,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,9.0,0.0,7.0,0.0,4.0,6.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.medtronic,1.0,1.0,1.0,1.0,10.0,1.0,8.5,0.0,1.0,1.0,1.0,0.0,0.0,1.5,11.5,2.0,11.5,11.5,0.0,0.0,0.5,6.0,121.0,25.5,87.0,33.5,44.0,7.5,41.5,60.0,30.5,29.5,2.0,2.0,2.0,1.0,1.5,1.0,47.5,47.5,0.065,13.0,13.0,13.0,12.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.medtronic.MainActivity,2.0,2.0,4.0,1.0,13.0,1.0,11.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,36.0,1.0,34.0,5.0,24.0,1.0,15.0,25.0,4.0,21.0,4.0,4.0,4.0,1.0,2.0,2.0,0.0,0.0,0.03,5.0,5.0,5.0,1.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.medtronic.MainActivity.RefreshDisplayRunnable.updateChart,4.0,4.0,4.0,1.0,11.5,0.5,9.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,14.5,1.0,11.5,1.5,10.5,2.0,5.5,8.0,3.0,5.0,4.0,4.0,4.0,1.0,2.0,0.5,0.0,0.0,0.22,4.0,4.0,4.0,1.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.medtronic.MainActivity.StatusMessageReceiver,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,7.0,7.0,0.0,0.0,0.0,7.0,33.0,7.0,26.0,10.0,8.0,0.0,10.0,18.0,10.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,42.0,28.0,0.0,7.0,7.0,7.0,7.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.medtronic.MainActivity.getActivePump,3.0,3.0,4.0,1.0,40.0,8.0,23.0,9.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,43.0,8.0,26.0,3.0,21.0,9.0,10.0,13.0,5.0,8.0,3.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.35,3.0,3.0,4.0,1.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.medtronic.MainActivity.getActivePump.(Anon_5).onChange,1.0,1.0,1.0,1.0,5.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,6.0,0.0,5.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.17,1.0,1.0,1.0,1.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.medtronic.MainActivity.onCreate,2.0,2.0,2.5,1.0,9.5,0.0,7.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,13.5,0.5,10.5,0.5,8.5,0.0,4.0,6.0,2.0,4.0,2.0,2.0,2.5,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.5,1.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.medtronic.ManageCNLActivity,1.0,1.0,1.0,1.0,9.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,60.0,10.0,46.0,17.0,26.0,5.0,20.0,29.0,15.0,14.0,2.0,2.0,2.0,1.0,2.0,0.0,40.0,40.0,0.11,6.0,6.0,6.0,5.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.medtronic.ManageCNLActivity.CNLAdapter.getView,1.0,1.0,1.0,1.0,13.0,1.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,15.0,1.0,13.0,1.0,11.0,1.0,5.0,7.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.08,1.0,1.0,1.0,1.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.medtronic.ManageCNLActivity.CNLAdapter.getView.(Anon_1).onClick,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,8.0,1.0,7.0,0.0,4.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.medtronic.exception,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,5.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.medtronic.message,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,13.5,0.0,0.0,1.0,1.0,25.5,4.0,18.5,6.0,9.0,3.5,7.0,12.0,5.0,6.0,1.5,1.5,1.5,1.0,4.0,0.5,0.0,0.0,0.255,4.0,4.0,4.0,2.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.medtronic.service,1.0,1.0,2.0,1.0,9.0,1.0,6.0,2.0,1.0,2.0,2.0,0.0,1.0,5.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,4.0,81.0,16.0,45.0,14.0,30.0,22.0,24.0,36.0,14.0,22.0,5.0,5.0,6.0,1.0,2.0,1.0,61.0,11.0,0.36,11.0,11.0,13.0,6.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.medtronic.service.MedtronicCnlIntentService,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,9.0,8.0,7.0,0.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.model.medtronicNg,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,13.0,13.0,0.0,0.0,0.0,12.0,64.0,13.0,48.0,21.0,14.0,3.0,19.0,33.0,20.0,13.0,1.0,1.0,1.0,1.0,2.0,0.0,83.0,83.0,0.06,13.0,13.0,13.0,13.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.settings,1.5,1.5,1.5,1.0,9.0,0.5,7.5,0.5,1.5,0.5,0.5,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,1.5,1.0,2.5,63.0,10.5,45.0,14.5,25.5,7.5,21.5,32.5,11.5,21.0,3.0,3.0,3.0,1.0,2.0,1.5,0.0,0.0,0.13,10.5,10.5,10.5,5.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.upload.nightscout,1.5,1.5,2.0,1.0,12.5,1.5,10.0,1.0,1.0,3.0,3.0,0.0,0.0,2.5,7.0,1.0,7.0,7.0,0.0,4.5,1.0,1.5,149.5,28.0,114.0,34.5,83.5,9.5,68.0,89.0,34.0,55.0,5.5,5.5,6.0,1.0,2.0,2.0,38.0,36.5,0.255,18.5,18.5,21.0,7.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.upload.nightscout.NightscoutApi,1.0,1.0,1.0,1.0,3.5,0.0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.0,3.5,1.5,0.0,3.0,5.0,3.5,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.upload.nightscout.NightscoutUploadIntentService,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,3.0,2.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.upload.nightscout.serializer,6.0,1.0,6.0,1.0,19.0,0.0,19.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,46.0,2.0,41.0,5.0,33.0,4.0,20.0,24.0,4.0,20.0,12.0,2.0,12.0,1.0,1.0,1.0,0.0,0.0,0.1,13.0,3.0,13.0,2.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.utils,1.0,1.0,1.0,1.0,9.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,7.0,0.0,1.0,1.0,5.0,63.0,6.0,44.0,13.0,24.0,13.0,17.0,28.0,12.0,16.0,5.0,5.0,5.0,4.0,2.0,2.0,0.0,0.0,0.3,9.0,9.0,9.0,8.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.utils.ValidatingEditTextPreference.showDialog,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.xdrip_plus,1.0,1.0,1.0,1.0,9.5,0.5,8.0,0.5,1.0,3.0,3.0,0.0,0.0,1.5,5.0,1.0,5.0,5.0,0.0,2.5,1.0,1.5,81.5,14.0,61.5,20.5,42.0,6.0,36.5,47.0,18.5,28.5,3.0,3.0,3.0,1.0,2.0,1.0,41.5,38.5,0.255,8.5,8.5,8.5,5.0,0.0
02593e295e26eb4fad1f406efce235e7eefccc54,info.nightscout.android.xdrip_plus.XDripPlusUploadIntentService,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,3.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02b79cf2ef8b2299bde4155bf2e64290bf94c607,com.google.zxing.integration.android,1.0,1.0,1.0,1.0,7.5,0.0,5.5,1.5,1.0,0.5,0.5,0.0,1.5,7.5,19.0,6.5,20.5,20.5,1.0,3.0,0.5,16.0,272.0,28.5,154.5,50.0,90.5,91.5,73.0,110.0,48.5,61.5,5.0,5.0,5.0,2.5,1.0,1.5,73.0,56.0,0.53,33.0,33.0,33.0,24.0,0.0
02b79cf2ef8b2299bde4155bf2e64290bf94c607,com.google.zxing.integration.android.IntentIntegrator.showDownloadDialog,4.0,4.0,4.0,1.0,22.0,0.0,19.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,24.0,0.0,21.0,3.0,16.0,4.0,8.0,12.0,4.0,8.0,4.0,4.0,4.0,1.0,2.0,2.0,0.0,0.0,0.19,4.0,4.0,4.0,1.0,0.0
02b79cf2ef8b2299bde4155bf2e64290bf94c607,info.nightscout.android,1.0,1.0,1.0,1.0,11.0,2.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,22.0,5.0,14.0,5.0,8.0,3.0,7.0,10.0,4.0,6.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.21,2.0,2.0,2.0,1.0,0.0
02b79cf2ef8b2299bde4155bf2e64290bf94c607,info.nightscout.android.USB,1.0,1.0,1.0,1.0,10.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,4.0,69.0,10.0,35.0,13.0,23.0,10.0,19.0,26.0,13.0,15.0,2.0,2.0,2.0,1.0,1.0,1.0,62.0,62.0,0.11,6.0,6.0,6.0,4.0,0.0
02b79cf2ef8b2299bde4155bf2e64290bf94c607,info.nightscout.android.UploaderApplication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02b79cf2ef8b2299bde4155bf2e64290bf94c607,info.nightscout.android.UploaderApplication.onCreate,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
02b79cf2ef8b2299bde4155bf2e64290bf94c607,info.nightscout.android.eula,2.0,2.0,2.0,1.0,18.0,0.0,14.0,3.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,5.0,5.0,0.0,4.0,0.0,1.0,119.0,9.0,79.0,16.0,52.0,31.0,39.0,57.0,19.0,38.0,3.0,3.0,3.0,1.0,1.0,2.0,80.0,80.0,0.39,10.0,10.0,10.0,5.0,0.0
02b79cf2ef8b2299bde4155bf2e64290bf94c607,info.nightscout.android.eula.Eula.show,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,9.0,0.0,7.0,0.0,4.0,6.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0
02b79cf2ef8b2299bde4155bf2e64290bf94c607,info.nightscout.android.medtronic,2.0,2.0,2.0,1.0,13.0,1.0,11.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,13.0,8.0,14.0,14.0,0.0,1.0,0.0,3.0,125.0,30.0,92.0,38.0,56.0,6.0,44.0,69.0,38.0,34.0,2.0,2.0,2.0,1.0,1.0,1.0,72.0,66.0,0.03,24.0,24.0,24.0,14.0,0.0
02b79cf2ef8b2299bde4155bf2e64290bf94c607,info.nightscout.android.medtronic.MainActivity,8.0,4.0,8.0,1.0,49.0,5.0,42.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,52.0,5.0,45.0,7.0,37.0,2.0,27.0,32.0,6.0,26.0,8.0,4.0,8.0,1.0,1.0,2.0,0.0,0.0,0.04,8.0,4.0,8.0,1.0,0.0
02b79cf2ef8b2299bde4155bf2e64290bf94c607,info.nightscout.android.medtronic.MainActivity.changeUserLogViewNewer,2.0,2.0,3.0,1.0,8.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,9.0,0.0,7.0,0.0,3.0,5.0,1.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0
02b79cf2ef8b2299bde4155bf2e64290bf94c607,info.nightscout.android.medtronic.MainActivity.changeUserLogViewOlder,2.0,2.0,3.0,1.0,8.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,9.0,0.0,7.0,0.0,3.0,5.0,1.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0
02b79cf2ef8b2299bde4155bf2e64290bf94c607,info.nightscout.android.medtronic.MainActivity.changeUserLogViewRecent,2.0,2.0,3.0,1.0,8.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,9.0,0.0,7.0,0.0,3.0,5.0,1.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0
