commit_hash,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
0757afb0c6d7466a52c22eb9a98b5698954a7f9c,com.activeandroid,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,7.0,2.0,10.0,10.0,0.0,1.0,0.0,7.0,168.0,27.0,123.0,28.0,74.0,18.0,50.0,83.0,28.0,52.0,4.0,4.0,4.0,1.0,1.0,2.0,50.0,35.0,0.15,17.0,17.0,17.0,11.0,0.0
0757afb0c6d7466a52c22eb9a98b5698954a7f9c,com.activeandroid.Configuration,2.0,2.0,2.0,1.0,10.0,0.0,8.0,0.0,1.0,5.0,5.0,0.0,0.0,6.0,15.0,6.0,15.0,15.0,0.0,4.0,0.0,11.0,205.0,38.0,147.0,39.0,85.0,20.0,67.0,103.0,41.0,62.0,7.0,7.0,7.0,1.0,1.0,3.0,76.0,76.0,0.14,33.0,33.0,34.0,15.0,0.0
0757afb0c6d7466a52c22eb9a98b5698954a7f9c,com.activeandroid.ModelInfo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,1.0,5.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0757afb0c6d7466a52c22eb9a98b5698954a7f9c,com.activeandroid.app,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,12.0,1.0,11.0,5.0,4.0,0.0,4.0,7.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
0757afb0c6d7466a52c22eb9a98b5698954a7f9c,com.activeandroid.content,1.0,1.0,1.0,1.0,11.0,1.0,9.0,0.0,1.0,6.0,6.0,0.0,1.0,4.0,10.0,0.0,11.0,11.0,0.0,2.0,2.0,7.0,175.0,40.0,114.0,44.0,78.0,22.0,69.0,86.0,38.0,48.0,3.0,3.0,3.0,1.0,2.0,1.0,81.0,77.0,0.19,17.0,17.0,18.0,11.0,0.0
0757afb0c6d7466a52c22eb9a98b5698954a7f9c,com.activeandroid.query,1.0,1.0,1.0,1.0,7.0,0.0,6.5,0.0,2.0,2.0,2.0,0.0,0.0,0.0,6.5,4.0,6.5,6.5,0.5,0.0,0.0,6.0,70.5,13.5,57.0,17.5,29.0,0.0,30.0,43.0,16.5,26.5,3.5,3.5,4.0,1.0,1.0,1.0,54.0,48.5,0.0,10.0,10.0,10.0,6.5,0.0
0757afb0c6d7466a52c22eb9a98b5698954a7f9c,com.activeandroid.query.Select,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,8.0,4.0,2.0,0.0,4.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0757afb0c6d7466a52c22eb9a98b5698954a7f9c,com.activeandroid.serializer,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,4.0,24.0,5.0,19.0,5.0,8.0,0.0,6.0,13.0,5.0,8.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,0.0
0757afb0c6d7466a52c22eb9a98b5698954a7f9c,com.activeandroid.test,1.0,1.0,1.0,1.0,6.5,0.0,6.5,0.0,1.0,2.5,2.5,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.5,1.5,24.0,3.5,20.5,7.0,10.0,0.0,9.5,15.0,6.5,7.5,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
0757afb0c6d7466a52c22eb9a98b5698954a7f9c,com.activeandroid.test.CacheTest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
