commit_hash,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
018cf3b4fc75c34fe488b344c691d80dc822d980,FastReader,1.0,1.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,3.0,0.0,0.0,1.0,35.0,3.0,29.0,8.0,14.0,3.0,11.0,19.0,8.0,11.0,3.0,3.0,4.0,1.0,1.0,2.0,50.0,25.0,0.1,7.0,7.0,8.0,4.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,algo,1.0,1.0,1.0,1.0,9.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,1.0,45.0,5.0,35.0,6.0,25.0,5.0,25.0,33.0,6.0,27.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.14,7.0,7.0,7.0,4.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,algo.graph,2.0,2.0,2.0,1.0,10.0,0.0,10.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,54.0,5.0,41.0,10.0,25.0,5.0,20.0,37.0,12.0,23.0,5.0,5.0,5.0,1.0,1.0,3.0,0.0,0.0,0.18,11.0,11.0,11.0,3.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,algo.numerals,2.5,2.5,2.5,1.0,7.5,0.5,6.5,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,2.5,1.0,0.5,0.0,1.0,35.5,3.0,19.0,5.0,10.5,14.0,11.5,19.0,7.5,11.5,4.5,4.5,4.5,2.0,1.0,2.5,0.0,0.0,0.7,6.5,6.5,6.5,3.5,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,algo.sortingandsearching,4.0,4.0,4.5,1.0,14.0,1.5,11.0,1.5,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.5,35.0,4.5,26.0,6.5,16.5,7.5,19.0,27.5,10.5,17.0,4.0,4.0,5.0,1.0,1.0,2.5,0.0,0.0,0.3,9.0,9.0,9.0,2.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,algo.string,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,5.0,5.0,0.0,3.0,0.0,2.0,58.0,7.0,40.0,14.0,26.0,11.0,28.0,40.0,17.0,23.0,4.0,4.0,5.0,3.0,1.0,2.0,60.0,19.0,0.28,11.0,11.0,12.0,9.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,codeforces,4.0,4.0,4.0,1.0,20.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,25.0,1.0,18.0,9.0,12.0,3.0,11.0,16.0,9.0,10.0,4.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,0.17,4.0,4.0,4.0,1.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,contests,3.0,3.0,4.5,1.5,13.5,1.0,12.0,0.0,1.0,1.0,1.0,0.0,1.5,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,51.5,6.5,40.0,12.0,24.5,3.0,20.0,31.0,13.0,19.0,6.0,6.0,7.0,2.0,1.0,2.0,0.0,0.0,0.08,7.0,7.0,8.5,4.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,contests.LazyLoading,1.0,1.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,4.0,32.0,3.0,29.0,8.0,14.0,0.0,11.0,19.0,8.0,11.0,3.0,3.0,4.0,1.0,1.0,2.0,50.0,25.0,0.0,7.0,7.0,8.0,4.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,contests.ManicMoving,1.0,1.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,35.0,3.0,29.0,8.0,14.0,0.0,11.0,19.0,8.0,11.0,3.0,3.0,4.0,1.0,1.0,2.0,33.0,25.0,0.0,7.0,7.0,8.0,2.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,contests.PieProgressRound1,1.0,1.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,3.0,0.0,0.0,1.0,35.0,6.0,29.0,8.0,14.0,0.0,11.0,19.0,8.0,11.0,3.0,3.0,4.0,1.0,1.0,2.0,50.0,25.0,0.0,7.0,7.0,8.0,4.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,contests.ProgressPie,1.0,1.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,4.0,32.0,3.0,29.0,8.0,14.0,0.0,11.0,19.0,8.0,11.0,3.0,3.0,4.0,1.0,1.0,2.0,50.0,25.0,0.0,7.0,7.0,8.0,4.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,contests.Round1Test003,1.0,1.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,3.0,0.0,0.0,1.0,35.0,6.0,29.0,8.0,14.0,0.0,11.0,19.0,8.0,11.0,3.0,3.0,4.0,1.0,1.0,2.0,50.0,25.0,0.0,7.0,7.0,8.0,4.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,ds,2.0,2.0,2.5,1.0,8.0,0.0,8.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,9.0,9.0,0.0,5.0,0.0,4.0,107.0,16.5,86.5,24.5,51.5,9.0,42.5,69.0,21.5,47.5,8.0,8.0,9.0,4.0,1.0,2.5,49.0,49.0,0.135,25.5,25.5,26.5,13.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,ds.AVLTree,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,8.0,5.0,1.0,0.0,4.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,80.0,80.0,0.0,1.0,1.0,1.0,1.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,ds.BST,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,9.0,5.0,3.0,0.0,5.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,60.0,60.0,0.0,1.0,1.0,1.0,1.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,ds.BSTIterative,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,9.0,5.0,3.0,0.0,5.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,60.0,60.0,0.0,1.0,1.0,1.0,1.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,ds.graph,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,3.0,8.0,8.0,0.0,0.0,0.0,8.0,54.0,12.0,38.0,18.0,13.0,3.0,16.0,29.0,13.0,14.0,3.0,3.0,3.0,3.0,1.0,1.0,58.0,58.0,0.08,11.0,11.0,11.0,11.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,interviewquestions.easy,3.0,3.0,4.0,1.0,11.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,20.5,1.0,15.0,4.0,9.0,3.0,8.5,14.0,5.0,9.0,4.0,4.0,5.0,1.0,1.0,2.0,0.0,0.0,0.22,5.0,5.0,5.0,2.0,0.0
018cf3b4fc75c34fe488b344c691d80dc822d980,interviewquestions.hard,2.5,2.5,3.0,1.0,9.0,0.5,9.0,0.0,1.0,0.5,0.5,0.0,0.5,0.0,1.5,0.0,2.5,2.5,0.5,0.0,0.0,1.5,35.5,3.5,30.0,8.0,20.0,3.0,15.0,25.0,8.0,17.0,4.5,4.5,5.5,1.0,1.0,2.0,0.0,0.0,0.185,9.0,9.0,9.5,2.5,0.0
