commit_hash,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
027c2f9dc2296288a9ce0570bce8554c8a72dd4e,apksigner,3.0,3.0,3.0,2.0,21.5,0.0,14.0,3.5,1.0,0.5,0.5,0.0,4.5,1.5,2.0,1.0,6.5,6.5,0.0,3.0,0.0,2.5,247.5,17.5,148.5,35.0,101.5,49.0,65.5,102.5,35.5,67.0,9.0,9.0,9.0,6.5,1.0,2.5,19.5,14.0,0.54,33.5,33.5,34.0,23.5,0.0
027c2f9dc2296288a9ce0570bce8554c8a72dd4e,apksigner.ApkSignerTool,3.5,3.5,4.5,1.5,20.0,0.5,18.0,1.5,1.0,1.5,1.5,0.0,2.0,0.5,2.5,7.0,4.5,4.5,0.5,4.0,0.0,0.0,170.0,11.5,145.0,34.0,97.5,13.5,53.0,83.5,29.5,54.0,12.0,12.0,12.5,2.5,1.5,3.0,34.5,30.0,0.29,28.0,28.0,35.5,9.5,0.0
027c2f9dc2296288a9ce0570bce8554c8a72dd4e,apksigner.OptionsParser,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,6.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0
027c2f9dc2296288a9ce0570bce8554c8a72dd4e,com.mindprod.ledatastream,1.0,1.0,1.0,1.0,8.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,14.0,15.0,0.0,0.0,0.0,14.0,188.0,14.0,69.0,31.0,24.0,105.0,26.0,43.0,19.0,24.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.77,16.0,16.0,16.0,14.0,0.0
027c2f9dc2296288a9ce0570bce8554c8a72dd4e,com.tencent.mm.androlib,1.5,1.5,1.5,1.0,10.0,0.0,8.0,0.5,1.0,5.0,5.0,0.0,0.0,0.0,14.0,9.5,14.0,14.0,0.0,5.0,0.0,4.0,166.5,26.0,126.0,42.5,73.5,14.5,67.0,96.0,44.5,51.5,5.5,5.5,5.5,2.0,1.0,2.5,71.5,61.5,0.12000000000000001,27.0,27.0,27.5,15.0,0.0
027c2f9dc2296288a9ce0570bce8554c8a72dd4e,com.tencent.mm.androlib.ApkDecoder,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,7.0,3.0,2.0,0.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
027c2f9dc2296288a9ce0570bce8554c8a72dd4e,com.tencent.mm.androlib.res.data,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,6.0,0.0,0.0,0.0,6.0,65.0,7.0,39.0,16.0,13.0,16.0,16.0,27.0,13.0,12.0,2.0,2.0,2.0,1.0,1.0,1.0,70.0,41.0,0.41,9.0,9.0,9.0,9.0,0.0
027c2f9dc2296288a9ce0570bce8554c8a72dd4e,com.tencent.mm.androlib.res.decoder,3.0,3.0,3.0,1.0,21.0,1.0,17.0,1.0,1.0,9.0,9.0,0.0,2.0,4.0,15.0,9.0,17.0,17.0,0.0,15.0,0.0,2.0,466.0,47.0,357.0,98.0,271.0,62.0,234.0,289.0,97.0,192.0,15.0,15.0,16.0,7.0,1.0,4.0,82.0,68.0,0.14,62.0,62.0,64.0,21.0,0.0
027c2f9dc2296288a9ce0570bce8554c8a72dd4e,com.tencent.mm.androlib.res.decoder.ARSCDecoder,2.0,2.0,2.0,1.0,8.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,44.0,4.0,40.0,14.0,24.0,0.0,23.0,30.0,13.0,17.0,3.0,3.0,3.0,1.0,1.0,2.0,66.0,0.0,0.0,6.0,6.0,6.0,3.0,0.0
027c2f9dc2296288a9ce0570bce8554c8a72dd4e,com.tencent.mm.androlib.res.decoder.RawARSCDecoder,1.0,1.0,1.0,1.0,5.5,0.0,5.5,0.0,1.0,1.0,1.0,0.0,0.5,3.0,1.0,2.0,1.5,1.5,0.0,0.0,0.0,1.5,16.5,2.5,14.0,6.0,6.0,0.0,7.0,10.0,5.5,4.5,1.5,1.5,1.5,1.0,1.0,0.5,25.0,0.0,0.0,2.0,2.0,2.0,1.5,0.0
