commit_hash,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
03e0b2728d9fc7e9009aaa9358031a74743e60ca,seedu.addressbook,1.0,1.0,1.0,1.0,10.0,0.0,6.0,3.0,1.0,8.0,8.0,0.0,1.0,1.0,7.0,4.0,8.0,8.0,0.0,6.0,0.0,2.0,113.0,16.0,61.0,20.0,36.0,36.0,34.0,46.0,20.0,26.0,2.0,2.0,2.0,1.0,1.0,1.0,68.0,34.0,0.59,13.0,13.0,13.0,8.0,0.0
03e0b2728d9fc7e9009aaa9358031a74743e60ca,seedu.addressbook.commands,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,1.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,2.0,35.0,8.0,23.0,9.0,14.0,4.0,8.0,13.0,7.0,6.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.25,4.0,4.0,4.0,3.0,0.0
03e0b2728d9fc7e9009aaa9358031a74743e60ca,seedu.addressbook.common,1.0,1.0,1.0,1.0,12.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,31.0,2.0,20.0,8.0,10.0,10.0,9.0,15.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.25,4.0,4.0,4.0,4.0,0.0
03e0b2728d9fc7e9009aaa9358031a74743e60ca,seedu.addressbook.data,1.0,1.0,1.0,1.0,9.5,0.5,6.0,2.0,1.0,11.5,11.5,0.0,0.0,0.0,16.0,6.5,16.0,16.0,0.0,1.5,0.0,14.5,197.0,35.5,128.5,44.0,72.0,34.5,60.5,90.0,40.0,50.0,3.5,3.5,4.0,2.0,1.0,2.0,50.0,46.5,0.45,23.0,23.0,24.5,17.0,1.0
03e0b2728d9fc7e9009aaa9358031a74743e60ca,seedu.addressbook.data.exception,1.0,1.0,1.0,1.0,4.5,0.0,3.0,1.5,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0,9.5,0.0,5.0,2.0,1.0,4.5,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,0.8999999999999999,1.0,1.0,1.0,1.0,0.0
03e0b2728d9fc7e9009aaa9358031a74743e60ca,seedu.addressbook.data.person,1.0,1.0,1.0,1.0,5.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,5.0,2.0,6.0,6.0,0.0,0.0,0.0,6.0,56.5,8.5,35.5,16.5,15.0,16.0,14.0,22.0,13.0,9.0,2.0,2.0,3.0,1.0,1.0,1.0,50.0,50.0,0.43,7.0,7.0,9.0,6.0,0.0
03e0b2728d9fc7e9009aaa9358031a74743e60ca,seedu.addressbook.data.person.UniquePersonList,0.5,0.5,0.5,0.5,1.5,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.5,0.0,0.0,0.5,0.0,6.5,0.0,3.0,1.5,0.5,3.5,0.5,2.0,1.5,0.5,0.5,0.5,0.5,0.5,3.0,0.0,0.0,0.0,2.3,0.5,0.5,0.5,0.5,0.0
03e0b2728d9fc7e9009aaa9358031a74743e60ca,seedu.addressbook.data.tag,1.0,1.0,1.0,1.0,6.0,0.0,4.0,2.5,1.5,2.5,2.5,0.0,0.5,1.0,9.5,1.0,10.0,10.0,0.0,0.0,0.0,10.0,102.0,13.5,53.5,19.0,22.5,37.5,17.0,34.0,17.0,17.0,2.5,2.5,3.0,1.0,1.0,1.5,12.5,12.5,0.645,14.0,14.0,16.0,10.0,0.0
03e0b2728d9fc7e9009aaa9358031a74743e60ca,seedu.addressbook.data.tag.UniqueTagList,0.5,0.5,0.5,0.5,1.5,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.5,0.0,0.0,0.5,0.0,6.5,0.0,3.0,1.5,0.5,3.5,0.5,2.0,1.5,0.5,0.5,0.5,0.5,0.5,3.0,0.0,0.0,0.0,2.3,0.5,0.5,0.5,0.5,0.0
03e0b2728d9fc7e9009aaa9358031a74743e60ca,seedu.addressbook.parser,2.0,1.5,2.0,1.5,12.5,0.5,8.0,2.5,1.0,18.0,18.0,0.0,2.0,2.0,16.5,0.5,18.5,18.5,0.0,6.0,0.0,12.5,258.5,38.5,167.5,79.0,101.5,54.5,68.0,98.0,60.0,38.0,8.0,4.0,8.0,5.5,1.0,1.0,46.0,3.5,0.37,33.0,29.0,33.0,24.0,0.0
