commit_hash,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
027c709d1008ad4dd9209d6768562d753a6737a0,com.adobe.cq.wcm.core.components,1.5,1.5,1.5,1.0,15.5,0.0,9.0,6.5,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,1.5,2.5,0.0,0.0,0.0,1.5,35.0,2.0,18.0,7.0,11.5,15.0,8.0,11.5,6.0,5.5,2.0,2.0,2.0,1.0,1.5,0.5,0.0,0.0,0.535,2.5,2.5,2.5,1.5,0.0
027c709d1008ad4dd9209d6768562d753a6737a0,com.adobe.cq.wcm.core.components.context,1.0,1.0,1.0,1.0,10.0,0.0,7.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,44.0,5.0,26.0,6.0,16.0,13.0,9.0,15.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.5,6.0,6.0,6.0,4.0,0.0
027c709d1008ad4dd9209d6768562d753a6737a0,com.adobe.cq.wcm.core.components.internal,1.0,1.0,1.0,1.0,10.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,40.0,4.0,17.0,8.0,6.0,19.0,5.0,10.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.12,5.0,5.0,5.0,3.0,0.0
027c709d1008ad4dd9209d6768562d753a6737a0,com.adobe.cq.wcm.core.components.internal.form,1.0,1.0,1.0,1.0,7.5,0.5,7.0,0.0,1.0,1.5,1.5,0.0,0.0,1.0,3.0,0.5,3.0,3.5,0.0,0.5,0.0,2.5,73.0,11.0,47.5,22.5,33.0,1.5,26.5,38.5,19.5,19.0,2.0,2.0,2.0,1.0,1.0,0.5,20.0,20.0,0.02,4.0,4.0,4.0,3.0,0.0
027c709d1008ad4dd9209d6768562d753a6737a0,com.adobe.cq.wcm.core.components.internal.form.FormConstants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
027c709d1008ad4dd9209d6768562d753a6737a0,com.adobe.cq.wcm.core.components.internal.jackson,1.0,1.0,1.0,1.0,10.0,0.0,9.5,0.0,1.0,1.0,1.0,0.0,0.0,0.5,2.0,0.5,2.0,2.0,0.0,0.0,0.0,2.0,31.5,4.0,27.0,10.0,17.5,0.0,14.5,20.5,9.5,10.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
027c709d1008ad4dd9209d6768562d753a6737a0,com.adobe.cq.wcm.core.components.internal.jackson.DefaultMethodSkippingModuleProvider.DefaultMethodSkippingModuleProvider,1.0,1.0,1.0,1.0,15.0,1.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,17.0,1.0,15.0,3.0,12.0,1.0,6.0,9.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.07,4.0,4.0,4.0,4.0,0.0
027c709d1008ad4dd9209d6768562d753a6737a0,com.adobe.cq.wcm.core.components.internal.jackson.DefaultMethodSkippingModuleProviderTest,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.5,0.0,0.0,0.0,1.5,7.0,0.5,6.5,2.5,1.5,0.0,1.5,4.0,2.5,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,0.0
027c709d1008ad4dd9209d6768562d753a6737a0,com.adobe.cq.wcm.core.components.internal.models,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,94.0,15.0,64.0,34.0,15.0,15.0,15.0,31.0,17.0,14.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.23,3.0,3.0,3.0,3.0,0.0
027c709d1008ad4dd9209d6768562d753a6737a0,com.adobe.cq.wcm.core.components.internal.models.PageTest,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,11.0,59.0,10.0,49.0,26.0,11.0,0.0,11.0,23.0,12.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,0.0
