commit_hash,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
058751334b523f5bb8323f6d2c15489d175756d2,com.airbnb.airlift.http.client,2.0,2.0,2.0,1.0,18.0,2.0,15.0,0.0,2.0,4.0,4.0,0.0,1.0,0.0,12.0,6.0,13.0,13.0,0.0,4.0,0.0,9.0,653.0,90.0,541.0,153.0,262.0,22.0,200.0,294.0,114.0,180.0,6.0,6.0,6.0,5.0,1.0,2.0,74.0,57.0,0.04,33.0,33.0,33.0,17.0,0.0
058751334b523f5bb8323f6d2c15489d175756d2,com.airbnb.airlift.http.client.OldJettyHttpClient,1.0,1.0,1.0,1.0,11.5,0.0,10.5,0.0,2.0,0.5,0.5,0.0,0.0,0.5,6.0,3.0,6.0,6.0,0.0,0.0,0.0,4.0,92.5,10.5,81.0,25.0,35.0,1.5,26.5,40.5,18.0,23.0,3.0,3.0,3.0,2.0,1.0,2.0,50.0,46.5,0.02,9.5,9.5,9.5,7.0,0.0
058751334b523f5bb8323f6d2c15489d175756d2,com.airbnb.airlift.http.client.OldJettyHttpClient.BodyGeneratorContentProvider,1.0,1.0,1.0,1.0,9.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,4.0,4.0,0.0,1.0,0.0,3.0,49.0,4.0,43.0,14.0,14.0,2.0,9.0,17.0,7.0,10.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.05,7.0,7.0,7.0,4.0,0.0
058751334b523f5bb8323f6d2c15489d175756d2,com.airbnb.airlift.http.client.OldJettyHttpClient.BodyGeneratorContentProvider.iterator,3.0,3.0,3.0,1.0,15.5,0.5,15.0,0.0,1.0,1.5,1.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,17.5,0.5,17.0,1.0,10.5,0.0,6.0,9.0,2.0,7.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0
058751334b523f5bb8323f6d2c15489d175756d2,com.airbnb.airlift.http.client.OldJettyHttpClient.execute,2.0,2.0,2.0,1.0,8.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,9.0,0.0,5.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.11,2.0,2.0,2.0,1.0,0.0
058751334b523f5bb8323f6d2c15489d175756d2,com.airbnb.airpal,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,69.0,8.0,60.0,18.0,11.0,0.0,21.0,23.0,14.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
058751334b523f5bb8323f6d2c15489d175756d2,com.airbnb.airpal.AirpalApplication.initialize,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,1.5,1.5,0.0,0.0,0.5,1.0,9.0,0.5,8.5,1.0,5.5,0.0,1.5,3.0,1.5,1.5,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,0.0
058751334b523f5bb8323f6d2c15489d175756d2,com.airbnb.airpal.AirpalConfiguration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,23.0,21.0,0.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
058751334b523f5bb8323f6d2c15489d175756d2,com.airbnb.airpal.UserInjectableProvider,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,9.0,4.0,1.0,0.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
058751334b523f5bb8323f6d2c15489d175756d2,com.airbnb.airpal.api,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,4.0,39.0,6.0,33.0,13.0,7.0,0.0,8.0,15.0,9.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,50.0,16.0,0.0,4.0,4.0,4.0,4.0,0.0
