commit_hash,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
05050bfe2e6a2a9f3630024cd720a6c5fda62354,BinarySearch,3.0,3.0,3.0,2.0,15.0,0.0,14.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,34.0,3.0,31.0,9.0,19.0,5.0,15.0,23.0,10.0,13.0,4.0,4.0,4.0,3.0,1.0,2.0,0.0,0.0,0.16,7.0,7.0,7.0,4.0,0.0
05050bfe2e6a2a9f3630024cd720a6c5fda62354,EuclideanGCD,1.0,1.0,1.0,1.0,7.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,26.0,2.0,24.0,9.0,15.0,4.0,12.0,18.0,9.0,9.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.17,5.0,5.0,5.0,3.0,0.0
1537e8c2e7a8780cbb32cc35c13b2594539098ac,BinarySearch,3.0,3.0,3.0,2.0,15.0,0.0,14.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,34.0,3.0,31.0,9.0,19.0,5.0,15.0,23.0,10.0,13.0,4.0,4.0,4.0,3.0,1.0,2.0,0.0,0.0,0.16,7.0,7.0,7.0,4.0,0.0
1537e8c2e7a8780cbb32cc35c13b2594539098ac,CountingSort,3.0,3.0,3.0,1.0,9.0,0.0,9.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,31.0,0.0,31.0,9.0,21.0,13.0,25.0,35.0,14.0,21.0,4.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,0.42,9.0,9.0,9.0,3.0,0.0
1537e8c2e7a8780cbb32cc35c13b2594539098ac,EuclideanGCD,1.0,1.0,1.0,1.0,7.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,26.0,2.0,23.0,9.0,14.0,4.0,11.0,16.0,9.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.17,5.0,5.0,5.0,3.0,0.0
1537e8c2e7a8780cbb32cc35c13b2594539098ac,LargestSumContiguousSubarray,2.0,2.0,2.0,1.0,10.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,25.0,3.0,22.0,7.0,11.0,6.0,13.0,19.0,7.0,12.0,4.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,0.27,5.0,5.0,5.0,2.0,0.0
1537e8c2e7a8780cbb32cc35c13b2594539098ac,LinearSearch,3.0,3.0,3.0,2.0,11.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,26.0,2.0,22.0,6.0,14.0,4.0,14.0,22.0,9.0,13.0,4.0,4.0,4.0,3.0,1.0,2.0,0.0,0.0,0.18,7.0,7.0,7.0,4.0,0.0
1537e8c2e7a8780cbb32cc35c13b2594539098ac,MergeSort,3.0,3.0,4.0,1.0,17.0,0.0,16.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,56.0,4.0,52.0,13.0,36.0,9.0,31.0,44.0,16.0,28.0,7.0,7.0,8.0,1.0,1.0,2.0,0.0,0.0,0.17,11.0,11.0,12.0,3.0,0.0
1537e8c2e7a8780cbb32cc35c13b2594539098ac,Prims,3.0,3.0,4.0,1.0,22.0,2.0,16.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,73.0,9.0,52.0,16.0,36.0,12.0,34.0,45.0,20.0,25.0,5.0,5.0,7.0,1.0,1.0,3.0,0.0,0.0,0.23,10.0,10.0,13.0,3.0,0.0
1537e8c2e7a8780cbb32cc35c13b2594539098ac,QuickSort,3.0,3.0,3.0,1.0,10.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,36.0,3.0,33.0,8.0,19.0,6.0,13.0,24.0,9.0,15.0,5.0,5.0,5.0,1.0,1.0,2.0,0.0,0.0,0.18,9.0,9.0,9.0,3.0,0.0
1537e8c2e7a8780cbb32cc35c13b2594539098ac,Stack,1.0,1.0,1.0,1.0,5.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,6.0,0.0,0.0,0.0,6.0,44.0,6.0,38.0,9.0,18.0,6.0,18.0,29.0,10.0,19.0,3.0,3.0,3.0,1.0,1.0,1.0,8.0,8.0,0.16,10.0,10.0,10.0,6.0,0.0
1537e8c2e7a8780cbb32cc35c13b2594539098ac,StackTest,4.0,4.0,4.0,1.0,27.0,0.0,21.0,8.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,29.0,0.0,23.0,3.0,16.0,9.0,14.0,19.0,4.0,15.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.39,4.0,4.0,4.0,1.0,0.0
