commit_hash,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
0377d89a9e8b76bd01aa2ce35cbdd01a09bdda30,com.alibaba.sdk.android,1.0,1.0,1.0,1.0,16.0,2.0,13.0,0.0,1.0,18.0,18.0,0.0,0.0,0.0,13.0,1.0,13.0,13.0,0.0,0.0,0.0,13.0,280.0,46.0,233.0,84.0,185.0,7.0,156.0,185.0,85.0,98.0,3.0,3.0,3.0,1.0,2.0,1.0,11.0,11.0,0.04,20.0,20.0,20.0,14.0,0.0
0377d89a9e8b76bd01aa2ce35cbdd01a09bdda30,com.alibaba.sdk.android.MultipartUploadTest.multipartUpload10mToFile,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,5.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0377d89a9e8b76bd01aa2ce35cbdd01a09bdda30,com.alibaba.sdk.android.MultipartUploadTest.testConcurrentMultipartUpload.(for_loop_8),2.0,2.0,2.0,1.0,10.0,0.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,12.0,0.0,10.0,0.0,5.0,7.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0
0377d89a9e8b76bd01aa2ce35cbdd01a09bdda30,com.alibaba.sdk.android.MultipartUploadTest.testMultipartUpload,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0377d89a9e8b76bd01aa2ce35cbdd01a09bdda30,com.alibaba.sdk.android.MultipartUploadTest.testMultipartUploadCancel,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0377d89a9e8b76bd01aa2ce35cbdd01a09bdda30,com.alibaba.sdk.android.MultipartUploadTest.testMultipartUploadFailed,2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,8.0,0.0,6.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0
0377d89a9e8b76bd01aa2ce35cbdd01a09bdda30,com.alibaba.sdk.android.MultipartUploadTest.testMultipartUploadWithServerCallback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0377d89a9e8b76bd01aa2ce35cbdd01a09bdda30,com.alibaba.sdk.android.MultipartUploadTest.testMultipartUploadWithServerError,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.5,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0377d89a9e8b76bd01aa2ce35cbdd01a09bdda30,com.alibaba.sdk.android.MultipartUploadTest.testUploadPartsAndCompleteWithServerCallback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
0377d89a9e8b76bd01aa2ce35cbdd01a09bdda30,com.alibaba.sdk.android.OSSAuthenticationTest.testFederationTokenExpiration,2.0,2.0,2.0,1.0,19.0,0.0,19.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,21.0,0.0,21.0,10.0,19.0,1.0,14.0,16.0,10.0,6.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.05,2.0,2.0,2.0,1.0,0.0
0377d89a9e8b76bd01aa2ce35cbdd01a09bdda30,com.alibaba.sdk.android.OSSAuthenticationTest.testPresignObjectURLWithCustomSignCredentialProvider,2.0,2.0,2.0,1.0,12.0,0.0,12.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,14.0,0.0,14.0,2.0,11.0,0.0,6.0,8.0,2.0,6.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0
