commit_hash,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
009bd46341a1693094f54b8504a2caa1433a41bd,com.aliyun.oss,1.0,1.0,1.0,1.0,9.0,0.0,3.0,0.0,1.0,5.0,5.0,0.0,0.0,1.0,9.0,1.5,10.0,10.0,0.0,0.5,0.0,8.5,93.0,12.5,47.0,20.0,18.5,9.0,18.5,30.0,15.5,14.5,3.0,3.0,3.0,1.0,1.0,1.0,31.0,15.0,0.1,11.5,11.5,11.5,10.0,0.0
009bd46341a1693094f54b8504a2caa1433a41bd,com.aliyun.oss.OSSClientRequestTest,1.0,1.0,1.0,1.0,4.0,0.0,3.5,0.0,1.0,3.5,3.5,0.0,0.0,0.5,3.0,0.5,3.0,23.0,0.0,0.0,1.0,2.0,21.0,4.0,16.5,7.0,5.5,0.5,4.0,8.5,5.5,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.02,3.0,3.0,3.0,3.0,0.0
009bd46341a1693094f54b8504a2caa1433a41bd,com.aliyun.oss.OSSClientRequestTest.RequestTestServiceClient.getDefaultRetryStrategy,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,0.0,5.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
009bd46341a1693094f54b8504a2caa1433a41bd,com.aliyun.oss.OSSClientRequestTest.testAbortMultipartUploadRequest,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
009bd46341a1693094f54b8504a2caa1433a41bd,com.aliyun.oss.OSSClientRequestTest.testBucketAclRequests,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
009bd46341a1693094f54b8504a2caa1433a41bd,com.aliyun.oss.OSSClientRequestTest.testBucketLocationRequest,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,5.0,1.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
009bd46341a1693094f54b8504a2caa1433a41bd,com.aliyun.oss.OSSClientRequestTest.testCompleteMultipartUploadRequest,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
009bd46341a1693094f54b8504a2caa1433a41bd,com.aliyun.oss.OSSClientRequestTest.testCopyObjectRequest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
009bd46341a1693094f54b8504a2caa1433a41bd,com.aliyun.oss.OSSClientRequestTest.testCreateBucketRequest,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.0,2.0,6.0,0.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
009bd46341a1693094f54b8504a2caa1433a41bd,com.aliyun.oss.OSSClientRequestTest.testGetObjectByRangeRequest,0.5,0.5,0.5,0.5,1.5,0.0,1.5,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,4.0,0.0,4.0,1.0,2.5,0.0,1.0,1.5,0.5,1.0,0.5,0.5,0.5,0.5,1.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0
