commit_hash,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
01784c83443941d57439fdc0d30ca750aa53d140,io.qameta.allure,1.0,1.0,1.0,1.0,8.0,0.0,6.0,0.0,1.0,3.5,3.5,0.0,0.0,0.0,6.0,1.5,6.0,6.0,0.0,0.0,0.0,5.5,63.0,10.0,49.5,21.5,34.5,5.0,17.5,25.0,15.5,8.5,1.0,1.0,1.0,1.0,1.0,0.5,47.5,37.0,0.11,8.5,8.5,8.5,8.0,0.0
01784c83443941d57439fdc0d30ca750aa53d140,io.qameta.allure.allure1,1.0,1.0,1.0,1.0,9.5,0.0,9.5,0.0,1.5,4.0,4.0,0.0,2.0,1.5,20.5,1.0,22.5,22.5,0.0,14.5,0.0,8.0,268.5,31.0,234.5,73.0,163.5,3.0,75.0,106.5,49.5,57.0,5.0,3.5,5.0,3.5,1.0,1.5,95.0,52.5,0.01,42.5,40.0,43.5,33.5,0.0
01784c83443941d57439fdc0d30ca750aa53d140,io.qameta.allure.allure2,1.0,1.0,1.0,1.0,11.0,0.5,10.5,0.0,1.5,4.0,4.0,0.0,0.0,0.5,15.0,0.5,15.0,15.0,0.0,10.0,0.0,5.0,189.0,23.0,163.5,51.5,111.5,2.5,43.5,64.0,30.5,33.5,3.0,3.0,3.0,1.0,1.0,1.5,45.0,4.5,0.015,27.5,27.5,28.5,22.5,0.0
01784c83443941d57439fdc0d30ca750aa53d140,io.qameta.allure.behaviors,1.0,1.0,1.0,1.0,15.5,1.0,13.5,0.0,1.5,4.0,4.0,0.0,0.0,1.0,6.0,0.5,6.0,10.0,0.0,1.5,2.5,2.0,89.5,11.5,74.0,28.5,53.5,4.0,25.5,36.0,21.0,15.0,2.5,2.5,2.5,1.0,1.5,1.5,50.0,50.0,0.05,10.0,10.0,10.0,8.0,1.0
01784c83443941d57439fdc0d30ca750aa53d140,io.qameta.allure.category,1.0,1.0,2.0,1.0,11.0,1.5,9.5,0.0,1.5,3.5,3.5,0.0,1.0,3.0,3.5,1.0,4.5,8.5,0.0,1.0,1.0,2.5,76.0,14.5,56.0,27.0,36.0,5.5,22.0,30.0,18.0,12.0,2.0,2.0,6.0,1.0,1.5,1.0,25.0,25.0,0.1,6.0,6.0,11.0,5.0,0.0
01784c83443941d57439fdc0d30ca750aa53d140,io.qameta.allure.category.CategoriesPlugin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01784c83443941d57439fdc0d30ca750aa53d140,io.qameta.allure.command,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,28.0,6.0,17.0,10.0,4.0,5.0,6.0,10.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,66.0,66.0,0.29,3.0,3.0,3.0,3.0,0.0
01784c83443941d57439fdc0d30ca750aa53d140,io.qameta.allure.config,1.0,1.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,2.0,31.0,5.0,23.0,8.0,11.0,3.0,9.0,15.0,8.0,7.0,2.0,2.0,3.0,1.0,1.0,1.0,33.0,16.0,0.13,5.0,5.0,6.0,3.0,0.0
01784c83443941d57439fdc0d30ca750aa53d140,io.qameta.allure.context,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,17.0,2.5,9.5,4.5,4.5,2.5,2.5,5.0,3.5,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.165,1.5,1.5,1.5,1.5,0.0
01784c83443941d57439fdc0d30ca750aa53d140,io.qameta.allure.convert,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,6.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0
