commit_hash,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
01f5db8049f59c010d4cf6d87bb93de9877c35d9,com.amazonaws.services.kinesis.clientlibrary.config,1.0,1.0,1.0,1.0,7.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,33.0,4.0,16.0,6.0,5.0,13.0,3.0,8.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.81,4.0,4.0,4.0,3.0,0.0
01f5db8049f59c010d4cf6d87bb93de9877c35d9,com.amazonaws.services.kinesis.clientlibrary.proxies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,50.0,2.0,1.0,0.0,324.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0
01f5db8049f59c010d4cf6d87bb93de9877c35d9,com.amazonaws.services.kinesis.clientlibrary.proxies.util,1.0,1.0,1.0,1.0,27.0,0.0,4.0,23.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,6.0,0.0,2.0,0.0,4.0,195.0,15.0,26.0,15.0,5.0,154.0,5.0,12.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.92,6.0,6.0,6.0,6.0,0.0
01f5db8049f59c010d4cf6d87bb93de9877c35d9,com.amazonaws.services.kinesis.multilang,1.0,1.0,1.0,1.0,11.0,0.0,7.0,1.0,1.0,3.5,3.5,0.0,0.0,0.5,5.0,2.5,6.0,9.0,0.0,0.0,0.0,3.0,109.0,14.0,63.5,23.5,28.5,17.0,26.5,42.5,18.0,23.0,2.0,2.0,2.0,1.0,1.0,1.0,47.0,33.0,0.305,8.0,8.0,8.0,6.0,0.0
01f5db8049f59c010d4cf6d87bb93de9877c35d9,com.amazonaws.services.kinesis.multilang.LineReaderTask,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,33.0,5.0,21.0,7.0,8.0,7.0,8.0,14.0,7.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,37.0,25.0,0.33,5.0,5.0,5.0,4.0,0.0
01f5db8049f59c010d4cf6d87bb93de9877c35d9,com.amazonaws.services.kinesis.multilang.Matchers,1.0,1.0,1.0,1.0,7.0,0.0,6.5,0.0,1.0,1.5,1.5,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,32.5,6.0,26.5,9.0,12.5,0.0,11.0,17.0,7.0,10.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,0.0
01f5db8049f59c010d4cf6d87bb93de9877c35d9,com.amazonaws.services.kinesis.multilang.MessageReaderTest.unexcpectedStatusFailure,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,1.0,11.0,0.0,9.0,0.0,4.0,6.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0
01f5db8049f59c010d4cf6d87bb93de9877c35d9,com.amazonaws.services.kinesis.multilang.MessageWriter.writeMessageToOutput,2.0,2.0,2.0,1.0,17.0,0.0,13.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,18.0,0.0,14.0,1.0,11.0,4.0,6.0,9.0,1.0,8.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.29,2.0,2.0,2.0,1.0,0.0
01f5db8049f59c010d4cf6d87bb93de9877c35d9,com.amazonaws.services.kinesis.multilang.MultiLangDaemon.main,2.0,2.0,2.0,1.0,10.0,0.0,10.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,12.0,1.0,10.0,0.0,5.0,7.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0
01f5db8049f59c010d4cf6d87bb93de9877c35d9,com.amazonaws.services.kinesis.multilang.MultiLangProtocolTest,1.0,1.0,1.0,1.0,8.0,0.0,4.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,14.0,1.0,0.0,1.0,0.0,21.0,1.0,12.0,7.0,2.0,8.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.67,2.0,2.0,2.0,2.0,0.0
01f5db8049f59c010d4cf6d87bb93de9877c35d9,com.amazonaws.services.kinesis.multilang.MultiLangProtocolTest.buildMessageAnswers,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,17.0,3.0,14.0,0.0,11.0,0.0,6.0,9.0,4.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,25.0,25.0,0.0,3.0,3.0,3.0,2.0,0.0
