commit_hash,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
00a6085b29178215d83d2d5ccb08ee3c4bdd8930,org.shadowice.flocke.andotp,1.0,1.0,1.0,1.0,24.0,5.0,19.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,185.0,46.0,136.0,33.0,113.0,8.0,91.0,105.0,32.0,73.0,5.0,5.0,5.0,1.0,2.0,1.0,0.0,0.0,0.06,12.0,12.0,12.0,7.0,0.0
00a6085b29178215d83d2d5ccb08ee3c4bdd8930,org.shadowice.flocke.andotp.Activities,2.0,2.0,3.0,1.0,21.0,3.0,18.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,6.0,3.0,6.0,10.0,0.0,1.0,1.0,4.0,276.0,39.0,236.0,51.0,189.0,2.0,111.0,148.0,53.0,72.0,5.0,5.0,6.0,1.0,3.0,2.0,62.0,37.0,0.01,9.0,9.0,9.0,6.0,0.0
00a6085b29178215d83d2d5ccb08ee3c4bdd8930,org.shadowice.flocke.andotp.Activities.AboutActivity.enableSpecialFeatures,1.0,1.0,1.0,1.0,2.5,0.0,2.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.5,0.0,4.5,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
00a6085b29178215d83d2d5ccb08ee3c4bdd8930,org.shadowice.flocke.andotp.Activities.AboutActivity.onCreate,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
00a6085b29178215d83d2d5ccb08ee3c4bdd8930,org.shadowice.flocke.andotp.Activities.BackupActivity.backupPlainWithWarning,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.5,1.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,3.5,0.0,0.5,1.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
00a6085b29178215d83d2d5ccb08ee3c4bdd8930,org.shadowice.flocke.andotp.Activities.BackupActivity.onCreate,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
00a6085b29178215d83d2d5ccb08ee3c4bdd8930,org.shadowice.flocke.andotp.Activities.BaseActivity,3.0,3.0,3.0,1.0,8.0,1.0,7.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,13.0,2.0,11.0,4.0,5.0,0.0,3.0,7.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,100.0,100.0,0.0,3.0,3.0,3.0,1.0,0.0
00a6085b29178215d83d2d5ccb08ee3c4bdd8930,org.shadowice.flocke.andotp.Activities.IntroScreenActivity,1.5,1.5,1.5,1.0,13.5,2.0,11.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,8.5,9.0,8.5,8.5,0.0,2.5,0.0,6.0,158.5,34.5,124.0,32.0,88.0,0.0,67.0,92.0,33.5,58.5,5.0,5.0,6.0,4.5,2.0,2.5,74.0,73.5,0.0,15.5,15.5,17.0,12.0,0.0
00a6085b29178215d83d2d5ccb08ee3c4bdd8930,org.shadowice.flocke.andotp.Activities.IntroScreenActivity.AuthenticationFragment.onCreateView,1.0,1.0,3.0,1.0,7.0,1.0,6.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,19.0,3.0,16.0,1.0,14.0,0.0,5.0,7.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,0.0
00a6085b29178215d83d2d5ccb08ee3c4bdd8930,org.shadowice.flocke.andotp.Activities.IntroScreenActivity.EncryptionFragment.onCreateView,2.0,2.0,2.0,1.0,6.0,1.0,5.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,17.0,3.0,14.0,1.0,12.0,0.0,4.0,9.0,3.0,6.0,4.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,2.0,0.0
