Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Public Class,com.uberspot.a2048.MainActivity,1.0,1.0,1.0,1.0,8.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,,4.0,2.0,4.0,4.0,0.0,0.0,2.0,2.0,,49,7,41,16,22,2,,,,19,26,10,16,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,62.0,62.0,0.05,6,6,6,4,87fbd98f64aa1aa869022e88f4b53b4f4289daa6,1
Public Class,com.uberspot.a2048.MainActivity,1.0,1.0,1.0,1.0,6.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,,20,3,16,7,7,2,,,,7,10,4,6,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.12,2,2,2,2,0f4518d35aaa3718622176613a2b62d973187912,0
Public Class,com.uberspot.a2048.MainActivity,1.0,1.0,2.0,1.0,14.0,1.0,11.0,2.0,1.0,0.0,0.0,0.0,,0.0,4.0,,,,8.0,4.0,8.0,8.0,0.0,3.0,2.0,3.0,,144,20,105,32,70,20,,,,50,68,26,42,,,,,,5.0,5.0,7.0,1.0,,2.0,1,,85.0,82.0,0.19,14,14,16,8,8a04f5de118ef1a58b7c32b55875cff8013d08e3,1
Anonymous Class,com.uberspot.a2048.MainActivity.onCreate.(Anon_1),3.0,3.0,4.0,1.0,16.0,0.0,12.0,4.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,19,1,14,2,12,4,,,,6,9,3,6,,,,,,3.0,3.0,4.0,1.0,,2.0,1,,0.0,0.0,0.29,3,3,4,1,8a04f5de118ef1a58b7c32b55875cff8013d08e3,0
Public Class,com.uberspot.a2048.MainActivity,1.0,1.0,2.0,1.0,15.0,1.0,11.0,2.0,1.0,0.0,0.0,0.0,,0.0,4.0,,,,8.0,4.0,8.0,8.0,0.0,3.0,2.0,3.0,,145,19,107,32,73,20,,,,50,68,26,42,,,,,,5.0,5.0,7.0,1.0,,2.0,1,,85.0,82.0,0.19,14,14,16,8,10a520609d5231297894e838339a44d4b91cee1a,0
Anonymous Class,com.uberspot.a2048.MainActivity.onCreate.(Anon_1),3.0,3.0,4.0,1.0,15.0,0.0,11.0,4.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,17,0,13,2,12,4,,,,6,9,3,6,,,,,,3.0,3.0,4.0,1.0,,2.0,1,,0.0,0.0,0.31,3,3,4,1,10a520609d5231297894e838339a44d4b91cee1a,0
Public Class,com.uberspot.a2048.MainActivity,1.0,1.0,2.0,1.0,16.0,1.0,11.0,3.0,1.0,0.0,0.0,0.0,,0.0,5.0,,,,8.0,4.0,8.0,8.0,0.0,3.0,2.0,3.0,,163,24,111,33,74,29,,,,53,72,27,45,,,,,,6.0,6.0,8.0,1.0,,2.0,1,,85.0,82.0,0.26,15,15,17,8,26a2088cf5bfd65857d39f1abee6eda42f24ed42,1
Anonymous Class,com.uberspot.a2048.MainActivity.onCreate.(Anon_1),3.0,3.0,4.0,1.0,16.0,0.0,12.0,4.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,19,1,14,2,12,4,,,,6,9,3,6,,,,,,3.0,3.0,4.0,1.0,,2.0,1,,0.0,0.0,0.29,3,3,4,1,26a2088cf5bfd65857d39f1abee6eda42f24ed42,0
Public Class,com.uberspot.a2048.MainActivity,1.0,1.0,2.0,1.0,15.0,1.0,11.0,2.0,1.0,0.0,0.0,0.0,,0.0,5.0,,,,8.0,4.0,8.0,8.0,0.0,3.0,2.0,3.0,,152,22,111,33,74,20,,,,53,72,27,45,,,,,,6.0,6.0,8.0,1.0,,2.0,1,,85.0,82.0,0.18,15,15,17,8,6a2391fb2a7a35b76841cc825b712f0aad82e06d,0
Anonymous Class,com.uberspot.a2048.MainActivity.onCreate.(Anon_1),3.0,3.0,4.0,1.0,16.0,0.0,12.0,4.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,19,1,14,2,12,4,,,,6,9,3,6,,,,,,3.0,3.0,4.0,1.0,,2.0,1,,0.0,0.0,0.29,3,3,4,1,6a2391fb2a7a35b76841cc825b712f0aad82e06d,0
