Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Public Class,in.myinnos.alphabetsindexfastscrollrecycler.ExampleInstrumentedTest,1.0,1.0,1.0,1.0,6.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,14,1,7,4,2,6,,,,2,4,3,1,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.86,1,1,1,1,6ad8419f74ed1823e8a5360108d0f6865d9e8554,1
Public Class,in.myinnos.alphabetsindexfastscrollrecycler.ExampleUnitTest,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,5,3,1,5,,,,1,3,2,1,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,1.0,1,1,1,1,6ad8419f74ed1823e8a5360108d0f6865d9e8554,1
Public Class,in.myinnos.alphabetsindexfastscrollrecycler.IndexFastScrollRecyclerSection,1.0,1.0,2.0,1.0,11.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,,,,15.0,24.0,15.0,15.0,0.0,2.0,0.0,13.0,,228,34,163,53,111,31,,,,96,126,53,73,,,,,,8.0,6.0,8.0,6.0,,1.0,3,,86.0,85.0,0.19,29,27,33,23,6ad8419f74ed1823e8a5360108d0f6865d9e8554,1
Public Class,in.myinnos.alphabetsindexfastscrollrecycler.IndexFastScrollRecyclerView,1.0,1.0,1.0,1.0,7.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,,0.0,7.0,,,,16.0,2.0,16.0,16.0,0.0,1.0,1.0,14.0,,160,31,103,32,59,26,,,,44,72,28,44,,,,,,4.0,4.0,4.0,1.0,,2.0,4,,85.0,74.0,0.25,25,25,26,16,6ad8419f74ed1823e8a5360108d0f6865d9e8554,1
Public Class,in.myinnos.alphabetsindexfastscrollrecycler.utilities_fs.StringMatcher,7.0,7.0,9.0,6.0,19.0,2.0,17.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,23,2,18,3,15,3,,,,9,15,3,12,,,,,,7.0,7.0,9.0,6.0,,1.0,2,,0.0,0.0,0.17,7,7,9,6,6ad8419f74ed1823e8a5360108d0f6865d9e8554,1
Public Class,in.myinnos.indexfastscrollrecycler.ExampleInstrumentedTest,1.0,1.0,1.0,1.0,6.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,14,1,7,4,2,6,,,,2,4,3,1,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.86,1,1,1,1,6ad8419f74ed1823e8a5360108d0f6865d9e8554,1
Public Class,in.myinnos.indexfastscrollrecycler.ExampleUnitTest,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,5,3,1,5,,,,1,3,2,1,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,1.0,1,1,1,1,6ad8419f74ed1823e8a5360108d0f6865d9e8554,1
Public Class,in.myinnos.indexfastscrollrecycler.MainActivity,2.0,2.0,2.0,1.0,13.0,1.0,11.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,,50,9,39,12,25,2,,,,27,34,11,23,,,,,,4.0,4.0,5.0,3.0,,2.0,2,,55.0,22.0,0.05,6,6,7,5,6ad8419f74ed1823e8a5360108d0f6865d9e8554,1
Public Class,in.myinnos.indexfastscrollrecycler.adapter.RecyclerViewAdapter,2.0,2.0,2.0,1.0,6.0,0.0,5.0,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,,,,7.0,2.0,7.0,7.0,0.0,0.0,0.0,7.0,,73,10,58,23,26,5,,,,27,45,20,25,,,,,,7.0,7.0,7.0,7.0,,2.0,5,,57.0,57.0,0.09,15,15,15,13,6ad8419f74ed1823e8a5360108d0f6865d9e8554,1
Public Class,in.myinnos.indexfastscrollrecycler.helper.DataHelper,1.0,1.0,1.0,1.0,160.0,26.0,134.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,165,27,135,2,132,3,,,,131,133,2,131,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.02,1,1,1,1,6ad8419f74ed1823e8a5360108d0f6865d9e8554,1
