Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Public Class,com.example.yink.amadeus.LaunchActivity,1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,,25,2,23,7,13,0,,,,11,15,6,9,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,2,2,2,2,91dde8ebdf39096800719da2be922b686ceeac3e,1
Public Class,com.example.yink.amadeus.MainActivity,3.0,1.0,3.0,1.0,19.0,0.0,18.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,6.0,18.0,6.0,6.0,0.0,0.0,3.0,3.0,,146,11,135,30,106,0,,,,79,95,32,63,,,,,,13.0,2.0,13.0,1.0,,2.0,1,,73.0,53.0,0.0,20,9,20,6,91dde8ebdf39096800719da2be922b686ceeac3e,1
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_1),1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,7,0,7,1,6,0,,,,3,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,91dde8ebdf39096800719da2be922b686ceeac3e,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_1),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,1,5,0,,,,2,3,2,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,91dde8ebdf39096800719da2be922b686ceeac3e,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onInit.(Anon_2),1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,26,2,24,0,19,0,,,,6,11,5,6,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,3,3,3,3,91dde8ebdf39096800719da2be922b686ceeac3e,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onInit.(Anon_2).onDone.(Anon_4),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,0,5,0,,,,2,3,1,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,91dde8ebdf39096800719da2be922b686ceeac3e,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onInit.(Anon_2).onStart.(Anon_3),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,91dde8ebdf39096800719da2be922b686ceeac3e,0
Public Class,com.example.yink.amadeus.VoiceLine,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,,20,3,14,6,4,3,,,,6,10,6,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,33.0,33.0,0.21,3,3,3,3,91dde8ebdf39096800719da2be922b686ceeac3e,0
Public Class,com.example.yink.amadeus.MainActivity,4.0,1.0,4.0,1.0,24.0,1.0,23.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,4.0,17.0,4.0,4.0,0.0,0.0,2.0,2.0,,123,8,115,25,91,0,,,,65,78,28,50,,,,,,13.0,2.0,13.0,1.0,,2.0,1,,67.0,67.0,0.0,17,6,17,4,fc11c56de3dbc4df3429f453a2bd6d5dc035f2c5,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_1),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,5,0,,,,2,3,1,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,fc11c56de3dbc4df3429f453a2bd6d5dc035f2c5,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onInit.(Anon_2),1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,25,2,23,0,18,0,,,,5,10,5,5,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,3,3,3,3,fc11c56de3dbc4df3429f453a2bd6d5dc035f2c5,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onInit.(Anon_2).onDone.(Anon_4),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,fc11c56de3dbc4df3429f453a2bd6d5dc035f2c5,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onInit.(Anon_2).onStart.(Anon_3),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,fc11c56de3dbc4df3429f453a2bd6d5dc035f2c5,0
Public Class,com.example.yink.amadeus.MainActivity,2.0,1.0,2.0,1.0,17.0,0.0,16.0,0.0,1.0,2.0,2.0,0.0,,0.0,1.0,,,,9.0,20.0,9.0,9.0,0.0,3.0,4.0,2.0,,239,29,207,53,147,3,,,,114,146,53,93,,,,,,13.0,3.0,13.0,1.0,,2.0,1,,81.0,61.0,0.01,25,14,25,9,442692d25c7294ce14fa20e5e7957e22c522529b,1
Public Class,com.example.yink.amadeus.LaunchActivity,1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,,25,2,23,7,13,0,,,,11,15,6,9,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,2,2,2,2,442692d25c7294ce14fa20e5e7957e22c522529b,0
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_1),1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,7,0,7,1,6,0,,,,3,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,442692d25c7294ce14fa20e5e7957e22c522529b,0
Public Class,com.example.yink.amadeus.MainActivity.listener,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,9.0,1.0,9.0,9.0,0.0,0.0,0.0,9.0,,37,3,34,13,14,0,,,,14,24,13,11,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,9,9,9,9,442692d25c7294ce14fa20e5e7957e22c522529b,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_1),1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,7,0,7,2,6,0,,,,3,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,442692d25c7294ce14fa20e5e7957e22c522529b,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_2),1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,4,0,4,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,442692d25c7294ce14fa20e5e7957e22c522529b,0
Anonymous Class,com.example.yink.amadeus.MainActivity.onCreate.(Anon_3),2.0,2.0,2.0,1.0,10.0,0.0,10.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,12,0,12,0,10,0,,,,5,7,1,6,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1,442692d25c7294ce14fa20e5e7957e22c522529b,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_4),1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,7,0,7,0,6,0,,,,3,4,1,3,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,442692d25c7294ce14fa20e5e7957e22c522529b,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_5),1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10,0,10,0,8,0,,,,2,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,442692d25c7294ce14fa20e5e7957e22c522529b,0
Anonymous Class,com.example.yink.amadeus.MainActivity.speak.(Anon_5).onPrepared.(Anon_6),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,442692d25c7294ce14fa20e5e7957e22c522529b,0
Public Class,com.example.yink.amadeus.VoiceLine,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,,19,2,14,6,4,3,,,,6,10,6,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,33.0,33.0,0.21,3,3,3,3,442692d25c7294ce14fa20e5e7957e22c522529b,0
Public Class,com.example.yink.amadeus.LaunchActivity,1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,,25,2,23,7,13,0,,,,11,15,6,9,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,2,2,2,2,5deb3a13ee6b1ea47414740b849a5442f56e5180,0
Anonymous Class,com.example.yink.amadeus.LaunchActivity.onCreate.(Anon_1),1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,7,0,7,1,6,0,,,,3,4,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,5deb3a13ee6b1ea47414740b849a5442f56e5180,0
Public Class,com.example.yink.amadeus.MainActivity,3.0,1.0,3.0,1.0,19.0,0.0,18.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,6.0,18.0,6.0,6.0,0.0,0.0,3.0,3.0,,146,11,135,30,106,0,,,,79,95,32,63,,,,,,13.0,2.0,13.0,1.0,,2.0,1,,73.0,53.0,0.0,20,9,20,6,5deb3a13ee6b1ea47414740b849a5442f56e5180,0
