Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Public Class,aurelhubert.com.ahbottomnavigation.DemoActivity,1.0,1.0,1.0,1.0,29.0,3.0,23.0,2.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,,64,10,50,14,39,4,,,,28,35,16,19,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.08,2,2,2,2,4e6ab10e208c070b6a9ea7f4be34cb4fad425168,1
Public Class,com.aurelhubert.ahbottomnavigation.AHBottomNavigation,2.0,2.0,3.0,1.0,19.0,2.0,14.0,3.0,1.0,3.0,3.0,0.0,,0.0,3.0,,,,28.0,13.0,28.0,28.0,0.0,7.0,2.0,19.0,,640,111,416,120,309,113,,,,225,303,123,180,,,,,,14.0,14.0,15.0,1.0,,2.0,1,,80.0,47.0,0.27,81,81,87,28,4e6ab10e208c070b6a9ea7f4be34cb4fad425168,1
Public Class,aurelhubert.com.ahbottomnavigation.ApplicationTest,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,7,0,4,2,1,3,,,,1,3,2,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.75,1,1,1,1,4e6ab10e208c070b6a9ea7f4be34cb4fad425168,0
Anonymous Class,aurelhubert.com.ahbottomnavigation.DemoActivity.initUI.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,5,0,4,1,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.2,1,1,1,1,4e6ab10e208c070b6a9ea7f4be34cb4fad425168,0
Anonymous Class,aurelhubert.com.ahbottomnavigation.DemoActivity.initUI.(Anon_2),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,4e6ab10e208c070b6a9ea7f4be34cb4fad425168,0
Anonymous Class,aurelhubert.com.ahbottomnavigation.DemoActivity.initUI.(Anon_3),2.0,2.0,2.0,1.0,9.0,0.0,9.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,11,0,11,0,9,0,,,,4,6,1,5,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1,4e6ab10e208c070b6a9ea7f4be34cb4fad425168,0
Public Class,aurelhubert.com.ahbottomnavigation.ExampleUnitTest,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,8,0,5,3,1,3,,,,1,3,2,1,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.6,1,1,1,1,4e6ab10e208c070b6a9ea7f4be34cb4fad425168,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHBottomNavigation.createClassicItems.(for_loop_1).(Anon_1),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,4e6ab10e208c070b6a9ea7f4be34cb4fad425168,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHBottomNavigation.createSmallItems.(for_loop_2).(Anon_2),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,4e6ab10e208c070b6a9ea7f4be34cb4fad425168,0
Anonymous Class,com.aurelhubert.ahbottomnavigation.AHBottomNavigation.updateItems.(for_loop_3).(Anon_3),1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,,17,3,14,0,10,0,,,,1,5,4,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,4,4,4,4,4e6ab10e208c070b6a9ea7f4be34cb4fad425168,0
