Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Public Class,org.ahocorasick.interval.Interval,1.0,1.0,1.0,1.0,7.0,0.0,4.0,3.0,2.0,0.0,0.0,2.0,,0.0,0.0,,,,10.0,2.0,10.0,10.0,0.0,0.0,0.0,10.0,,98,11,53,23,20,34,,,,18,31,16,15,,,,,,3.0,3.0,3.0,1.0,,1.0,1,,9.0,9.0,0.64,13,13,16,10,d140afc0da152142163951a1996646229981ab87,0
Public Class,org.ahocorasick.interval.IntervalNode,3.0,3.0,3.0,1.0,12.0,0.0,11.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,8.0,4.0,8.0,8.0,0.0,0.0,5.0,3.0,,117,17,97,26,57,3,,,,38,68,26,42,,,,,,6.0,6.0,6.0,1.0,,1.0,3,,71.0,53.0,0.03,26,25,28,8,d140afc0da152142163951a1996646229981ab87,0
Public Class,org.ahocorasick.interval.IntervalTest,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,7.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,,47,8,39,18,16,0,,,,16,24,11,13,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,7,7,7,7,d140afc0da152142163951a1996646229981ab87,0
Public Class,org.ahocorasick.interval.IntervalTree,2.0,2.0,2.0,1.0,11.0,2.0,7.0,1.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,,41,12,24,6,12,5,,,,10,19,8,11,,,,,,4.0,4.0,4.0,3.0,,1.0,2,,33.0,0.0,0.21,6,6,6,5,d140afc0da152142163951a1996646229981ab87,0
Public Class,org.ahocorasick.interval.IntervalTreeTest,1.0,1.0,1.0,1.0,11.0,0.0,10.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,,41,5,36,12,26,0,,,,26,30,10,20,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,3,3,3,3,d140afc0da152142163951a1996646229981ab87,0
Public Class,org.ahocorasick.interval.IntervalableComparatorByPosition,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,8,2,6,3,1,0,,,,1,3,2,1,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,1,1,1,1,d140afc0da152142163951a1996646229981ab87,0
Public Class,org.ahocorasick.interval.IntervalableComparatorByPositionTest,1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,15,2,13,4,8,0,,,,8,10,3,7,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,1,1,1,1,d140afc0da152142163951a1996646229981ab87,0
Public Class,org.ahocorasick.interval.IntervalableComparatorBySize,2.0,2.0,2.0,1.0,9.0,2.0,7.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,14,4,10,4,4,0,,,,3,6,3,3,,,,,,2.0,2.0,2.0,1.0,,1.0,1,,0.0,0.0,0.0,2,2,2,1,d140afc0da152142163951a1996646229981ab87,0
Public Class,org.ahocorasick.interval.IntervalableComparatorBySizeTest,1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,25,3,22,7,14,0,,,,14,17,5,12,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,2,2,2,2,d140afc0da152142163951a1996646229981ab87,0
Public Class,org.ahocorasick.trie.DefaultToken,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,3.0,1.0,3.0,7.0,0.0,0.0,0.0,3.0,,19,5,14,6,5,0,,,,6,10,6,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,3,3,3,3,d140afc0da152142163951a1996646229981ab87,0
