Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Public Class,io.airlift.airline.Accessor,3.0,3.0,3.0,2.0,14.0,1.0,13.0,0.0,1.0,2.0,2.0,0.0,,5.0,0.0,,,,10.0,4.0,15.0,15.0,0.0,5.0,0.0,10.0,,251,36,210,43,113,5,,,,81,133,43,90,,,,,,12.0,12.0,12.0,7.0,,1.0,6,,78.0,78.0,0.02,49,49,52,30,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,0
Public Class,io.airlift.airline.ArgsRequiredWrongMain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,0,5,3,0,0,,,,1,2,2,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,0.0,0,0,0,0,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,0
Class,io.airlift.airline.ArgumentConversion,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,4.0,4.0,0.0,,1.0,0.0,,,,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,,106,20,86,34,22,0,,,,23,42,24,18,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,2,2,2,2,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,0
Public Static Class,io.airlift.airline.ArgumentConversion.ArgumentConstructor,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,,19,3,16,5,4,0,,,,4,8,4,4,,,,,,2.0,2.0,2.0,1.0,,1.0,1,,0.0,0.0,0.0,3,3,3,2,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,0
Public Static Class,io.airlift.airline.ArgumentConversion.ArgumentConversions,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,2.0,5.0,5.0,0.0,,0.0,0.0,,,,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,,20,3,17,10,3,0,,,,6,8,5,3,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,1,1,1,1,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,0
Public Static Class,io.airlift.airline.ArgumentConversion.ArgumentFromString,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,,,,2.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,,24,4,20,6,5,0,,,,5,10,5,5,,,,,,2.0,2.0,2.0,1.0,,1.0,1,,33.0,0.0,0.0,4,4,4,3,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,0
Public Static Class,io.airlift.airline.ArgumentConversion.ArgumentValueOf,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,,,,2.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,,24,4,20,6,5,0,,,,5,10,5,5,,,,,,2.0,2.0,2.0,1.0,,1.0,1,,33.0,0.0,0.0,4,4,4,3,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,0
Public Generic Class,io.airlift.airline.Cli,2.0,2.0,2.0,1.0,13.0,1.0,11.0,0.0,1.0,20.0,20.0,0.0,,3.0,0.0,,,,8.0,1.0,11.0,11.0,0.0,2.0,0.0,9.0,,306,51,240,63,123,15,,,,94,136,54,82,,,,,,8.0,8.0,11.0,1.0,,1.0,2,,63.0,54.0,0.06,24,24,27,12,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,0
Public Static Generic Class,io.airlift.airline.Cli.CliBuilder,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,8.0,7.0,8.0,8.0,0.0,0.0,0.0,8.0,,84,12,60,18,27,12,,,,30,40,17,23,,,,,,2.0,2.0,2.0,1.0,,1.0,1,,76.0,76.0,0.2,9,9,9,8,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,0
Public Static Generic Class,io.airlift.airline.Cli.GroupBuilder,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,6.0,4.0,6.0,6.0,0.0,1.0,0.0,5.0,,52,7,45,12,20,0,,,,23,30,11,19,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,75.0,75.0,0.0,6,6,6,6,bed2e85f2083dfe15f471e7b87088ce9fb4a9fce,0
